geo_point_2d;geo_shape;objectid_1;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;mode;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.88218913760796, 2.70601418111842;"{""coordinates"": [2.70601418111842, 48.88218913760796], ""type"": ""Point""}";5;3;Lagny-Thorigny;;;68494;Lagny - Thorigny;427872;Lagny - Thorigny;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;678439.8038;6864725.8416
48.83964551726303, 2.655130086641314;"{""coordinates"": [2.655130086641314, 48.83964551726303], ""type"": ""Point""}";7;7;Torcy;;;68129;Torcy;43207;Torcy;A01856;C01742;RER A;RER;0;1;0;0;0;0;0;0;0;0;RATP;1;0;674687.4504;6860010.3257
48.79565482051668, 2.6503876698084805;"{""coordinates"": [2.650387669808481, 48.79565482051668], ""type"": ""Point""}";9;10;Roissy-en-Brie;;;67839;Roissy-en-Brie;46568;Roissy-en-Brie;A01843;C01729;RER E;RER;1;1;0;0;0;0;0;0;0;0;SNCF;1;0;674317.7148;6855120.5285
48.77077891616031, 2.690252782201096;"{""coordinates"": [2.690252782201096, 48.77077891616031], ""type"": ""Point""}";10;11;Ozoir-la-Ferrière;;;462934;Ozoir-la-Ferrière;462901;Ozoir-la-Ferrière;A01843;C01729;RER E;RER;1;1;0;0;0;0;0;0;0;0;SNCF;1;0;677235.3132;6852342.4269
48.960226490735955, 2.9500603827528087;"{""coordinates"": [2.950060382752809, 48.960226490735955], ""type"": ""Point""}";13;16;Trilport;;;68984;Trilport;47962;Trilport;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;696343.0315;6873364.7384
48.998415393201626, 3.007953055749719;"{""coordinates"": [3.007953055749719, 48.998415393201626], ""type"": ""Point""}";14;17;Isles - Armentières - Congis;;;69162;Isles - Armentières - Congis;47484;Isles - Armentières - Congis;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;700581.9571;6877610.5064
48.80865396493308, 2.9931098934191773;"{""coordinates"": [2.993109893419177, 48.80865396493308], ""type"": ""Point""}";24;29;Faremoutiers - Pommeuse;;;67917;Faremoutiers - Pommeuse;47199;Faremoutiers - Pommeuse;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;699493.9819;6856509.0652
48.81379848122763, 3.042938267407244;"{""coordinates"": [3.042938267407244, 48.81379848122763], ""type"": ""Point""}";25;30;Mouroux;;;67944;Mouroux;47943;Mouroux;A01844;C01730;TRAIN P;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;703153.1292;6857081.9218
48.99139140287416, 2.6650598693073007;"{""coordinates"": [2.665059869307301, 48.99139140287416], ""type"": ""Point""}";26;35;Compans;;;69136;Compans;46731;Compans;A02175;C01738;TRAIN K;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;675487.8426;6876881.3322
48.42736258418355, 2.1452465929031157;"{""coordinates"": [2.145246592903116, 48.42736258418355], ""type"": ""Point""}";30;191;Saint-Martin-d'Etampes;;;59531;Saint-Martin d'Étampes;47115;Saint-Martin d'Étampes;A01840;C01727;RER C;RER;0;1;0;0;0;0;1;0;0;0;SNCF;1;1;636768.2154;6814462.2274
48.3112962801872, 2.0035250026932427;"{""coordinates"": [2.003525002693243, 48.3112962801872], ""type"": ""Point""}";33;194;Angerville;;;59403;Angerville;47917;Angerville;A02179;C01857;TER;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;626121.8465;6801685.3319
48.434490612855804, 2.3766728171550753;"{""coordinates"": [2.376672817155075, 48.434490612855804], ""type"": ""Point""}";45;214;Boutigny;;;59565;Boutigny;47895;Boutigny;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;653894.1826;6815094.2882
48.39364154682738, 2.3934107213753797;"{""coordinates"": [2.39341072137538, 48.39364154682738], ""type"": ""Point""}";46;215;Maisse;;;59470;Maisse;43156;Maisse;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;655097.3351;6810544.2368
48.68101661367098, 2.5331306633865682;"{""coordinates"": [2.533130663386568, 48.68101661367098], ""type"": ""Point""}";47;217;Boussy-Saint-Antoine;;;62596;Boussy-Saint-Antoine;47924;Boussy-Saint-Antoine;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;665628.8221;6842419.4143
48.79602536780064, 1.602701692990599;"{""coordinates"": [1.602701692990599, 48.79602536780064], ""type"": ""Point""}";55;107;Houdan;;;63893;Houdan;47935;Houdan;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;1;597361.1625;6856013.0322
48.946796942071565, 2.2578974826622087;"{""coordinates"": [2.257897482662209, 48.946796942071565], ""type"": ""Point""}";68;221;Argenteuil;;;65063;Argenteuil;47875;Argenteuil;A01852;C01739;TRAIN J;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;1;645644.2234;6872125.5748
48.97098803438473, 2.263830527175666;"{""coordinates"": [2.263830527175666, 48.97098803438473], ""type"": ""Point""}";69;222;Sannois;;;65441;Sannois;43189;Sannois;A01852;C01739;TRAIN J;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;646103.8607;6874811.5712
49.035311309420315, 2.210246521043383;"{""coordinates"": [2.210246521043383, 49.035311309420315], ""type"": ""Point""}";78;239;Bessancourt;;;66672;Bessancourt;43090;Bessancourt;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;642252.5611;6882002.5147
49.04543025423757, 2.197087678318263;"{""coordinates"": [2.197087678318263, 49.04543025423757], ""type"": ""Point""}";79;240;Frépillon;;;66798;Frépillon;47580;Gare Frépillon;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;641301.8512;6883137.5286
48.97274911886799, 2.307137033449419;"{""coordinates"": [2.307137033449419, 48.97274911886799], ""type"": ""Point""}";82;243;Enghien-les-Bains;;;65485;Enghien-les-Bains;43075;Enghien-les-Bains;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;649276.0335;6874978.7186
48.966326544842126, 2.3165820711557;"{""coordinates"": [2.3165820711557, 48.966326544842126], ""type"": ""Point""}";83;244;La Barre-Ormesson;;;65360;La Barre Ormesson;46470;La Barre Ormesson;A01849;C01737;TRAIN H;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;649961.2985;6874258.4871
48.77163431371264, 2.1469727415128563;"{""coordinates"": [2.146972741512856, 48.77163431371264], ""type"": ""Point""}";91;76;Petit-Jouy-les-Loges;;;63594;Petit Jouy Les Loges;57674;Petit Jouy Les Loges;A01840;C02711;TRAIN V;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;637309.3571;6852731.511
48.77480281070147, 2.0065668717618754;"{""coordinates"": [2.006566871761875, 48.77480281070147], ""type"": ""Point""}";93;81;Trappes;;;463850;Trappes;43209;Trappes;A01847 / A01855;C01736 / C01741;TRAIN N / TRAIN U;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;626995.593;6853204.4241
48.830959528670476, 1.9600265629724067;"{""coordinates"": [1.960026562972407, 48.830959528670476], ""type"": ""Point""}";97;87;Plaisir-les-Clayes;;;64195;Plaisir - Les Clayes;43181;Plaisir - Les Clayes;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;623657.914;6859491.9671
48.93871923546381, 1.8405170324880136;"{""coordinates"": [1.840517032488014, 48.93871923546381], ""type"": ""Point""}";104;94;Nézel-Aulnay;;;64945;Nézel - Aulnay;47944;Nézel - Aulnay;A01847;C01736;TRAIN N;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;615061.5357;6871595.5075
48.66790195746237, 2.5475480485614277;"{""coordinates"": [2.547548048561428, 48.66790195746237], ""type"": ""Point""}";111;43;Combs-la-Ville - Quincy;;;62558;Combs-la-Ville - Quincy;45771;Combs-la-Ville - Quincy;A01842;C01728;RER D;RER;0;1;0;0;0;0;0;0;0;0;SNCF;1;0;666681.8716;6840955.2066
48.51026517526803, 2.678973982691401;"{""coordinates"": [2.678973982691401, 48.51026517526803], ""type"": ""Point""}";119;53;Livry-sur-Seine;;;61826;Livry-sur-Seine;45804;Livry-sur-Seine;A01845;C01731;TRAIN R;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;0;676288.6411;6823383.5443
48.41637703390627, 2.7266615330769945;"{""coordinates"": [2.726661533076995, 48.41637703390627], ""type"": ""Point""}";122;59;Fontainebleau Avon;Château;;61579;Fontainebleau - Avon;47911;Fontainebleau - Avon;A01845;C01731;TRAIN R;TRAIN;1;0;0;0;0;0;0;0;0;0;SNCF;1;1;679774.7573;6812933.8975
