brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-16,0.0,False
LANVIN,lanvin,2026-02-16,0.0375,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-16,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-17,0.0,False
LANVIN,lanvin,2026-02-17,0.026667,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-17,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-18,0.0,False
LANVIN,lanvin,2026-02-18,0.026667,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-18,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-19,0.0,False
LANVIN,lanvin,2026-02-19,0.038961,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-19,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-20,0.0,False
LANVIN,lanvin,2026-02-20,0.024691,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-20,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-21,0.0,False
LANVIN,lanvin,2026-02-21,0.031915,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-21,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-22,0.0,False
LANVIN,lanvin,2026-02-22,0.033708,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-22,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-23,0.0,False
LANVIN,lanvin,2026-02-23,0.025641,False
MAISON MIHARA YASUHIRO,maison mihara yasuhiro,2026-02-23,0.0,False
WILLY CHAVARRIA,willy chavarria,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
LAZOSCHMIDL,lazoschmidl,2026-02-24,0.0,False
LANVIN,lanvin,2026-02-24,0.027027,False
