brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Ami Paris,ami paris,2026-02-16,0.025,False
GIVENCHY,givenchy,2026-02-16,0.1375,False
SONG FOR THE MUTE,song for the mute,2026-02-16,0.0,False
RICK OWENS,rick owens,2026-02-16,0.0625,False
Dior,dior,2026-02-17,1.0,True
Ami Paris,ami paris,2026-02-17,0.026667,False
GIVENCHY,givenchy,2026-02-17,0.133333,False
SONG FOR THE MUTE,song for the mute,2026-02-17,0.0,False
RICK OWENS,rick owens,2026-02-17,0.066667,False
Dior,dior,2026-02-18,1.0,True
Ami Paris,ami paris,2026-02-18,0.026667,False
GIVENCHY,givenchy,2026-02-18,0.12,False
SONG FOR THE MUTE,song for the mute,2026-02-18,0.0,False
RICK OWENS,rick owens,2026-02-18,0.066667,False
Dior,dior,2026-02-19,1.0,True
Ami Paris,ami paris,2026-02-19,0.025974,False
GIVENCHY,givenchy,2026-02-19,0.12987,False
SONG FOR THE MUTE,song for the mute,2026-02-19,0.0,False
RICK OWENS,rick owens,2026-02-19,0.064935,False
Dior,dior,2026-02-20,1.0,True
Ami Paris,ami paris,2026-02-20,0.024691,False
GIVENCHY,givenchy,2026-02-20,0.135802,False
SONG FOR THE MUTE,song for the mute,2026-02-20,0.0,False
RICK OWENS,rick owens,2026-02-20,0.061728,False
Dior,dior,2026-02-21,1.0,True
Ami Paris,ami paris,2026-02-21,0.021277,False
GIVENCHY,givenchy,2026-02-21,0.117021,False
SONG FOR THE MUTE,song for the mute,2026-02-21,0.0,False
RICK OWENS,rick owens,2026-02-21,0.06383,False
Dior,dior,2026-02-22,1.0,True
Ami Paris,ami paris,2026-02-22,0.022472,False
GIVENCHY,givenchy,2026-02-22,0.11236,False
SONG FOR THE MUTE,song for the mute,2026-02-22,0.0,False
RICK OWENS,rick owens,2026-02-22,0.067416,False
Dior,dior,2026-02-23,1.0,True
Ami Paris,ami paris,2026-02-23,0.025641,False
GIVENCHY,givenchy,2026-02-23,0.115385,False
SONG FOR THE MUTE,song for the mute,2026-02-23,0.0,False
RICK OWENS,rick owens,2026-02-23,0.064103,False
Dior,dior,2026-02-24,1.0,True
Ami Paris,ami paris,2026-02-24,0.027027,False
GIVENCHY,givenchy,2026-02-24,0.121622,False
SONG FOR THE MUTE,song for the mute,2026-02-24,0.0,False
RICK OWENS,rick owens,2026-02-24,0.067568,False
Dior,dior,2026-02-25,1.0,True
Ami Paris,ami paris,2026-02-25,0.025974,False
GIVENCHY,givenchy,2026-02-25,0.116883,False
SONG FOR THE MUTE,song for the mute,2026-02-25,0.0,False
RICK OWENS,rick owens,2026-02-25,0.064935,False
Dior,dior,2026-02-26,1.0,True
Ami Paris,ami paris,2026-02-26,0.025641,False
GIVENCHY,givenchy,2026-02-26,0.128205,False
SONG FOR THE MUTE,song for the mute,2026-02-26,0.0,False
RICK OWENS,rick owens,2026-02-26,0.064103,False
Dior,dior,2026-02-27,1.0,True
Ami Paris,ami paris,2026-02-27,0.024691,False
GIVENCHY,givenchy,2026-02-27,0.123457,False
SONG FOR THE MUTE,song for the mute,2026-02-27,0.0,False
RICK OWENS,rick owens,2026-02-27,0.061728,False
Dior,dior,2026-02-28,1.0,True
Ami Paris,ami paris,2026-02-28,0.023256,False
GIVENCHY,givenchy,2026-02-28,0.127907,False
SONG FOR THE MUTE,song for the mute,2026-02-28,0.0,False
RICK OWENS,rick owens,2026-02-28,0.069767,False
Dior,dior,2026-03-01,1.0,True
Ami Paris,ami paris,2026-03-01,0.022727,False
GIVENCHY,givenchy,2026-03-01,0.113636,False
SONG FOR THE MUTE,song for the mute,2026-03-01,0.0,False
RICK OWENS,rick owens,2026-03-01,0.068182,False
Dior,dior,2026-03-02,1.0,True
Ami Paris,ami paris,2026-03-02,0.026316,False
GIVENCHY,givenchy,2026-03-02,0.118421,False
SONG FOR THE MUTE,song for the mute,2026-03-02,0.0,False
RICK OWENS,rick owens,2026-03-02,0.065789,False
Dior,dior,2026-03-03,1.0,True
Ami Paris,ami paris,2026-03-03,0.026316,False
GIVENCHY,givenchy,2026-03-03,0.118421,False
SONG FOR THE MUTE,song for the mute,2026-03-03,0.0,False
RICK OWENS,rick owens,2026-03-03,0.065789,False
Dior,dior,2026-03-04,1.0,True
Ami Paris,ami paris,2026-03-04,0.02381,False
GIVENCHY,givenchy,2026-03-04,0.119048,False
SONG FOR THE MUTE,song for the mute,2026-03-04,0.0,False
RICK OWENS,rick owens,2026-03-04,0.059524,False
Dior,dior,2026-03-05,1.0,True
Ami Paris,ami paris,2026-03-05,0.02381,False
GIVENCHY,givenchy,2026-03-05,0.119048,False
SONG FOR THE MUTE,song for the mute,2026-03-05,0.0,False
RICK OWENS,rick owens,2026-03-05,0.071429,False
Dior,dior,2026-03-06,1.0,True
Ami Paris,ami paris,2026-03-06,0.023256,False
GIVENCHY,givenchy,2026-03-06,0.116279,False
SONG FOR THE MUTE,song for the mute,2026-03-06,0.0,False
RICK OWENS,rick owens,2026-03-06,0.069767,False
Dior,dior,2026-03-07,1.0,True
Ami Paris,ami paris,2026-03-07,0.02,False
GIVENCHY,givenchy,2026-03-07,0.12,False
SONG FOR THE MUTE,song for the mute,2026-03-07,0.0,False
RICK OWENS,rick owens,2026-03-07,0.07,False
Dior,dior,2026-03-08,1.0,True
Ami Paris,ami paris,2026-03-08,0.020202,False
GIVENCHY,givenchy,2026-03-08,0.111111,False
SONG FOR THE MUTE,song for the mute,2026-03-08,0.0,False
RICK OWENS,rick owens,2026-03-08,0.070707,False
Dior,dior,2026-03-09,1.0,True
Ami Paris,ami paris,2026-03-09,0.02381,False
GIVENCHY,givenchy,2026-03-09,0.119048,False
SONG FOR THE MUTE,song for the mute,2026-03-09,0.0,False
RICK OWENS,rick owens,2026-03-09,0.071429,False
Dior,dior,2026-03-10,1.0,True
Ami Paris,ami paris,2026-03-10,0.025,False
GIVENCHY,givenchy,2026-03-10,0.1125,False
SONG FOR THE MUTE,song for the mute,2026-03-10,0.0,False
RICK OWENS,rick owens,2026-03-10,0.075,False
Dior,dior,2026-03-11,1.0,True
