brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-16,0.0,False
Dice Kayek,dice kayek,2026-02-16,0.0,False
Hermes,hermes,2026-02-16,0.725,False
Vivienne Westwood,vivienne westwood,2026-02-16,0.0875,False
Dior,dior,2026-02-17,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-17,0.0,False
Dice Kayek,dice kayek,2026-02-17,0.0,False
Hermes,hermes,2026-02-17,0.773333,False
Vivienne Westwood,vivienne westwood,2026-02-17,0.066667,False
Dior,dior,2026-02-18,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-18,0.0,False
Dice Kayek,dice kayek,2026-02-18,0.0,False
Hermes,hermes,2026-02-18,0.733333,False
Vivienne Westwood,vivienne westwood,2026-02-18,0.066667,False
Dior,dior,2026-02-19,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-19,0.0,False
Dice Kayek,dice kayek,2026-02-19,0.0,False
Hermes,hermes,2026-02-19,0.753247,False
Vivienne Westwood,vivienne westwood,2026-02-19,0.077922,False
Dior,dior,2026-02-20,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-20,0.0,False
Dice Kayek,dice kayek,2026-02-20,0.0,False
Hermes,hermes,2026-02-20,0.728395,False
Vivienne Westwood,vivienne westwood,2026-02-20,0.074074,False
Dior,dior,2026-02-21,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-21,0.0,False
Dice Kayek,dice kayek,2026-02-21,0.0,False
Hermes,hermes,2026-02-21,0.638298,False
Vivienne Westwood,vivienne westwood,2026-02-21,0.074468,False
Dior,dior,2026-02-22,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-22,0.0,False
Dice Kayek,dice kayek,2026-02-22,0.0,False
Hermes,hermes,2026-02-22,0.595506,False
Vivienne Westwood,vivienne westwood,2026-02-22,0.078652,False
Dior,dior,2026-02-23,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-23,0.0,False
Dice Kayek,dice kayek,2026-02-23,0.0,False
Hermes,hermes,2026-02-23,0.730769,False
Vivienne Westwood,vivienne westwood,2026-02-23,0.076923,False
Dior,dior,2026-02-24,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-24,0.0,False
Dice Kayek,dice kayek,2026-02-24,0.0,False
Hermes,hermes,2026-02-24,0.77027,False
Vivienne Westwood,vivienne westwood,2026-02-24,0.081081,False
Dior,dior,2026-02-25,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-25,0.0,False
Dice Kayek,dice kayek,2026-02-25,0.0,False
Hermes,hermes,2026-02-25,0.714286,False
Vivienne Westwood,vivienne westwood,2026-02-25,0.064935,False
Dior,dior,2026-02-26,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-26,0.0,False
Dice Kayek,dice kayek,2026-02-26,0.0,False
Hermes,hermes,2026-02-26,0.730769,False
Vivienne Westwood,vivienne westwood,2026-02-26,0.076923,False
Dior,dior,2026-02-27,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-27,0.0,False
Dice Kayek,dice kayek,2026-02-27,0.0,False
Hermes,hermes,2026-02-27,0.740741,False
Vivienne Westwood,vivienne westwood,2026-02-27,0.074074,False
Dior,dior,2026-02-28,1.0,True
Noir Kei Ninomiya,noir kei ninomiya,2026-02-28,0.0,False
Dice Kayek,dice kayek,2026-02-28,0.0,False
Hermes,hermes,2026-02-28,0.709302,False
Vivienne Westwood,vivienne westwood,2026-02-28,0.069767,False
Dior,dior,2026-03-01,1.0,True
