brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-16,0.0,False
ACNE STUDIOS,acne studios,2026-02-16,0.0375,False
SOLID HOMME,solid homme,2026-02-16,0.0,False
LEMAIRE,lemaire,2026-02-16,0.025,False
Dior,dior,2026-02-17,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-17,0.0,False
ACNE STUDIOS,acne studios,2026-02-17,0.04,False
SOLID HOMME,solid homme,2026-02-17,0.0,False
LEMAIRE,lemaire,2026-02-17,0.026667,False
Dior,dior,2026-02-18,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-18,0.0,False
ACNE STUDIOS,acne studios,2026-02-18,0.04,False
SOLID HOMME,solid homme,2026-02-18,0.0,False
LEMAIRE,lemaire,2026-02-18,0.026667,False
Dior,dior,2026-02-19,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-19,0.0,False
ACNE STUDIOS,acne studios,2026-02-19,0.051948,False
SOLID HOMME,solid homme,2026-02-19,0.0,False
LEMAIRE,lemaire,2026-02-19,0.025974,False
Dior,dior,2026-02-20,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-20,0.0,False
ACNE STUDIOS,acne studios,2026-02-20,0.049383,False
SOLID HOMME,solid homme,2026-02-20,0.0,False
LEMAIRE,lemaire,2026-02-20,0.024691,False
Dior,dior,2026-02-21,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-21,0.0,False
ACNE STUDIOS,acne studios,2026-02-21,0.042553,False
SOLID HOMME,solid homme,2026-02-21,0.0,False
LEMAIRE,lemaire,2026-02-21,0.021277,False
Dior,dior,2026-02-22,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-22,0.0,False
ACNE STUDIOS,acne studios,2026-02-22,0.044944,False
SOLID HOMME,solid homme,2026-02-22,0.0,False
LEMAIRE,lemaire,2026-02-22,0.022472,False
Dior,dior,2026-02-23,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-23,0.0,False
ACNE STUDIOS,acne studios,2026-02-23,0.038462,False
SOLID HOMME,solid homme,2026-02-23,0.0,False
LEMAIRE,lemaire,2026-02-23,0.025641,False
Dior,dior,2026-02-24,1.0,True
MERYLL ROGGE,meryll rogge,2026-02-24,0.0,False
