brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Chanel,chanel,2026-02-16,1.012658,False
Ujoh,ujoh,2026-02-16,0.0,False
Louis Vuitton,louis vuitton,2026-02-16,0.670886,False
Miu Miu,miu miu,2026-02-16,0.240506,False
Dior,dior,2026-02-17,1.0,True
Chanel,chanel,2026-02-17,1.013514,False
Ujoh,ujoh,2026-02-17,0.0,False
Louis Vuitton,louis vuitton,2026-02-17,0.662162,False
Miu Miu,miu miu,2026-02-17,0.22973,False
Dior,dior,2026-02-18,1.0,True
Chanel,chanel,2026-02-18,1.013514,False
Ujoh,ujoh,2026-02-18,0.0,False
Louis Vuitton,louis vuitton,2026-02-18,0.635135,False
Miu Miu,miu miu,2026-02-18,0.243243,False
Dior,dior,2026-02-19,1.0,True
Chanel,chanel,2026-02-19,1.0,False
Ujoh,ujoh,2026-02-19,0.0,False
Louis Vuitton,louis vuitton,2026-02-19,0.64,False
Miu Miu,miu miu,2026-02-19,0.24,False
Dior,dior,2026-02-20,1.0,True
Chanel,chanel,2026-02-20,1.025,False
Ujoh,ujoh,2026-02-20,0.0,False
Louis Vuitton,louis vuitton,2026-02-20,0.65,False
Miu Miu,miu miu,2026-02-20,0.2375,False
Dior,dior,2026-02-21,1.0,True
Chanel,chanel,2026-02-21,0.978495,False
Ujoh,ujoh,2026-02-21,0.0,False
Louis Vuitton,louis vuitton,2026-02-21,0.655914,False
Miu Miu,miu miu,2026-02-21,0.236559,False
Dior,dior,2026-02-22,1.0,True
Chanel,chanel,2026-02-22,1.034483,False
Ujoh,ujoh,2026-02-22,0.0,False
Louis Vuitton,louis vuitton,2026-02-22,0.701149,False
Miu Miu,miu miu,2026-02-22,0.241379,False
Dior,dior,2026-02-23,1.0,True
Chanel,chanel,2026-02-23,1.013158,False
Ujoh,ujoh,2026-02-23,0.0,False
Louis Vuitton,louis vuitton,2026-02-23,0.657895,False
Miu Miu,miu miu,2026-02-23,0.25,False
Dior,dior,2026-02-24,1.0,True
Chanel,chanel,2026-02-24,1.013699,False
Ujoh,ujoh,2026-02-24,0.0,False
Louis Vuitton,louis vuitton,2026-02-24,0.671233,False
Miu Miu,miu miu,2026-02-24,0.260274,False
Dior,dior,2026-02-25,1.0,True
Chanel,chanel,2026-02-25,0.947368,False
Ujoh,ujoh,2026-02-25,0.0,False
Louis Vuitton,louis vuitton,2026-02-25,0.697368,False
Miu Miu,miu miu,2026-02-25,0.25,False
