brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
AMIRI,amiri,2026-02-16,0.1,False
SONIA CARRASCO,sonia carrasco,2026-02-16,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-16,0.0,False
SYSTEM,system,2026-02-16,9.0,False
Dior,dior,2026-02-17,1.0,True
AMIRI,amiri,2026-02-17,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-17,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-17,0.0,False
SYSTEM,system,2026-02-17,10.555556,False
Dior,dior,2026-02-18,1.0,True
AMIRI,amiri,2026-02-18,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-18,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-18,0.0,False
SYSTEM,system,2026-02-18,10.333333,False
Dior,dior,2026-02-19,1.0,True
AMIRI,amiri,2026-02-19,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-19,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-19,0.0,False
SYSTEM,system,2026-02-19,10.111111,False
Dior,dior,2026-02-20,1.0,True
AMIRI,amiri,2026-02-20,0.1,False
SONIA CARRASCO,sonia carrasco,2026-02-20,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-20,0.0,False
SYSTEM,system,2026-02-20,8.7,False
Dior,dior,2026-02-21,1.0,True
AMIRI,amiri,2026-02-21,0.090909,False
SONIA CARRASCO,sonia carrasco,2026-02-21,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-21,0.0,False
SYSTEM,system,2026-02-21,7.363636,False
Dior,dior,2026-02-22,1.0,True
AMIRI,amiri,2026-02-22,0.090909,False
SONIA CARRASCO,sonia carrasco,2026-02-22,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-22,0.0,False
SYSTEM,system,2026-02-22,7.090909,False
Dior,dior,2026-02-23,1.0,True
AMIRI,amiri,2026-02-23,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-23,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-23,0.0,False
SYSTEM,system,2026-02-23,9.666667,False
Dior,dior,2026-02-24,1.0,True
AMIRI,amiri,2026-02-24,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-24,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-24,0.0,False
SYSTEM,system,2026-02-24,9.555556,False
Dior,dior,2026-02-25,1.0,True
AMIRI,amiri,2026-02-25,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-25,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-25,0.0,False
SYSTEM,system,2026-02-25,10.888889,False
Dior,dior,2026-02-26,1.0,True
AMIRI,amiri,2026-02-26,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-02-26,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-26,0.0,False
SYSTEM,system,2026-02-26,10.888889,False
Dior,dior,2026-02-27,1.0,True
AMIRI,amiri,2026-02-27,0.1,False
SONIA CARRASCO,sonia carrasco,2026-02-27,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-27,0.0,False
SYSTEM,system,2026-02-27,10.0,False
Dior,dior,2026-02-28,1.0,True
AMIRI,amiri,2026-02-28,0.1,False
SONIA CARRASCO,sonia carrasco,2026-02-28,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-02-28,0.0,False
SYSTEM,system,2026-02-28,6.6,False
Dior,dior,2026-03-01,1.0,True
AMIRI,amiri,2026-03-01,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-01,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-01,0.0,False
SYSTEM,system,2026-03-01,6.5,False
Dior,dior,2026-03-02,1.0,True
AMIRI,amiri,2026-03-02,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-03-02,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-02,0.0,False
SYSTEM,system,2026-03-02,8.888889,False
Dior,dior,2026-03-03,1.0,True
AMIRI,amiri,2026-03-03,0.111111,False
SONIA CARRASCO,sonia carrasco,2026-03-03,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-03,0.0,False
SYSTEM,system,2026-03-03,9.444444,False
Dior,dior,2026-03-04,1.0,True
AMIRI,amiri,2026-03-04,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-04,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-04,0.0,False
SYSTEM,system,2026-03-04,8.5,False
Dior,dior,2026-03-05,1.0,True
AMIRI,amiri,2026-03-05,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-05,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-05,0.0,False
SYSTEM,system,2026-03-05,8.7,False
Dior,dior,2026-03-06,1.0,True
AMIRI,amiri,2026-03-06,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-06,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-06,0.0,False
SYSTEM,system,2026-03-06,7.6,False
Dior,dior,2026-03-07,1.0,True
AMIRI,amiri,2026-03-07,0.083333,False
SONIA CARRASCO,sonia carrasco,2026-03-07,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-07,0.0,False
SYSTEM,system,2026-03-07,5.416667,False
Dior,dior,2026-03-08,1.0,True
AMIRI,amiri,2026-03-08,0.083333,False
SONIA CARRASCO,sonia carrasco,2026-03-08,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-08,0.0,False
SYSTEM,system,2026-03-08,5.666667,False
Dior,dior,2026-03-09,1.0,True
AMIRI,amiri,2026-03-09,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-09,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-09,0.0,False
SYSTEM,system,2026-03-09,7.9,False
Dior,dior,2026-03-10,1.0,True
AMIRI,amiri,2026-03-10,0.1,False
SONIA CARRASCO,sonia carrasco,2026-03-10,0.0,False
YOHJI YAMAMOTO,yohji yamamoto,2026-03-10,0.0,False
SYSTEM,system,2026-03-10,8.0,False
Dior,dior,2026-03-11,1.0,True
