brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Situationist,situationist,2026-02-16,0.0,False
Pierre Cardin,pierre cardin,2026-02-16,0.0375,False
Dior,dior,2026-02-17,1.0,True
Situationist,situationist,2026-02-17,0.0,False
Pierre Cardin,pierre cardin,2026-02-17,0.04,False
Dior,dior,2026-02-18,1.0,True
Situationist,situationist,2026-02-18,0.0,False
Pierre Cardin,pierre cardin,2026-02-18,0.04,False
Dior,dior,2026-02-19,1.0,True
Situationist,situationist,2026-02-19,0.0,False
Pierre Cardin,pierre cardin,2026-02-19,0.025974,False
Dior,dior,2026-02-20,1.0,True
Situationist,situationist,2026-02-20,0.0,False
Pierre Cardin,pierre cardin,2026-02-20,0.037037,False
Dior,dior,2026-02-21,1.0,True
Situationist,situationist,2026-02-21,0.0,False
Pierre Cardin,pierre cardin,2026-02-21,0.031915,False
Dior,dior,2026-02-22,1.0,True
Situationist,situationist,2026-02-22,0.0,False
Pierre Cardin,pierre cardin,2026-02-22,0.033708,False
Dior,dior,2026-02-23,1.0,True
Situationist,situationist,2026-02-23,0.0,False
Pierre Cardin,pierre cardin,2026-02-23,0.038462,False
Dior,dior,2026-02-24,1.0,True
Situationist,situationist,2026-02-24,0.0,False
Pierre Cardin,pierre cardin,2026-02-24,0.040541,False
Dior,dior,2026-02-25,1.0,True
Situationist,situationist,2026-02-25,0.0,False
Pierre Cardin,pierre cardin,2026-02-25,0.038961,False
Dior,dior,2026-02-26,1.0,True
Situationist,situationist,2026-02-26,0.0,False
Pierre Cardin,pierre cardin,2026-02-26,0.038462,False
Dior,dior,2026-02-27,1.0,True
Situationist,situationist,2026-02-27,0.0,False
Pierre Cardin,pierre cardin,2026-02-27,0.037037,False
Dior,dior,2026-02-28,1.0,True
Situationist,situationist,2026-02-28,0.0,False
Pierre Cardin,pierre cardin,2026-02-28,0.034884,False
Dior,dior,2026-03-01,1.0,True
Situationist,situationist,2026-03-01,0.0,False
Pierre Cardin,pierre cardin,2026-03-01,0.034091,False
Dior,dior,2026-03-02,1.0,True
Situationist,situationist,2026-03-02,0.0,False
Pierre Cardin,pierre cardin,2026-03-02,0.026316,False
Dior,dior,2026-03-03,1.0,True
Situationist,situationist,2026-03-03,0.0,False
Pierre Cardin,pierre cardin,2026-03-03,0.039474,False
Dior,dior,2026-03-04,1.0,True
Situationist,situationist,2026-03-04,0.0,False
Pierre Cardin,pierre cardin,2026-03-04,0.02381,False
Dior,dior,2026-03-05,1.0,True
Situationist,situationist,2026-03-05,0.0,False
Pierre Cardin,pierre cardin,2026-03-05,0.035714,False
Dior,dior,2026-03-06,1.0,True
Situationist,situationist,2026-03-06,0.0,False
Pierre Cardin,pierre cardin,2026-03-06,0.034884,False
Dior,dior,2026-03-07,1.0,True
Situationist,situationist,2026-03-07,0.0,False
Pierre Cardin,pierre cardin,2026-03-07,0.03,False
Dior,dior,2026-03-08,1.0,True
Situationist,situationist,2026-03-08,0.0,False
Pierre Cardin,pierre cardin,2026-03-08,0.030303,False
Dior,dior,2026-03-09,1.0,True
Situationist,situationist,2026-03-09,0.0,False
Pierre Cardin,pierre cardin,2026-03-09,0.035714,False
Dior,dior,2026-03-10,1.0,True
Situationist,situationist,2026-03-10,0.0,False
Pierre Cardin,pierre cardin,2026-03-10,0.0375,False
Dior,dior,2026-03-11,1.0,True
Situationist,situationist,2026-03-11,0.0,False
Pierre Cardin,pierre cardin,2026-03-11,0.036585,False
Dior,dior,2026-03-12,1.0,True
Situationist,situationist,2026-03-12,0.0,False
Pierre Cardin,pierre cardin,2026-03-12,0.036145,False
Dior,dior,2026-03-13,1.0,True
Situationist,situationist,2026-03-13,0.0,False
Pierre Cardin,pierre cardin,2026-03-13,0.032609,False
Dior,dior,2026-03-14,1.0,True
Situationist,situationist,2026-03-14,0.0,False
Pierre Cardin,pierre cardin,2026-03-14,0.030928,False
Dior,dior,2026-03-15,1.0,True
Situationist,situationist,2026-03-15,0.0,False
Pierre Cardin,pierre cardin,2026-03-15,0.042553,False
Dior,dior,2026-03-16,1.0,True
Situationist,situationist,2026-03-16,0.0,False
Pierre Cardin,pierre cardin,2026-03-16,0.036585,False
Dior,dior,2026-03-17,1.0,True
Situationist,situationist,2026-03-17,0.0,False
Pierre Cardin,pierre cardin,2026-03-17,0.038961,False
Dior,dior,2026-03-18,1.0,True
Situationist,situationist,2026-03-18,0.0,False
Pierre Cardin,pierre cardin,2026-03-18,0.0375,False
