brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Loulou de Saison,loulou de saison,2026-02-16,0.0,False
Courreges,courreges,2026-02-16,0.0125,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-16,0.0,False
The Row,the row,2026-02-16,0.3125,False
Dior,dior,2026-02-17,1.0,True
Loulou de Saison,loulou de saison,2026-02-17,0.0,False
Courreges,courreges,2026-02-17,0.013333,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-17,0.0,False
The Row,the row,2026-02-17,0.306667,False
Dior,dior,2026-02-18,1.0,True
Loulou de Saison,loulou de saison,2026-02-18,0.0,False
Courreges,courreges,2026-02-18,0.013333,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-18,0.0,False
The Row,the row,2026-02-18,0.293333,False
Dior,dior,2026-02-19,1.0,True
Loulou de Saison,loulou de saison,2026-02-19,0.0,False
Courreges,courreges,2026-02-19,0.012987,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-19,0.0,False
The Row,the row,2026-02-19,0.311688,False
Dior,dior,2026-02-20,1.0,True
Loulou de Saison,loulou de saison,2026-02-20,0.0,False
Courreges,courreges,2026-02-20,0.012346,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-20,0.0,False
The Row,the row,2026-02-20,0.296296,False
Dior,dior,2026-02-21,1.0,True
Loulou de Saison,loulou de saison,2026-02-21,0.0,False
Courreges,courreges,2026-02-21,0.010638,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-21,0.0,False
The Row,the row,2026-02-21,0.255319,False
Dior,dior,2026-02-22,1.0,True
Loulou de Saison,loulou de saison,2026-02-22,0.0,False
Courreges,courreges,2026-02-22,0.011236,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-22,0.0,False
The Row,the row,2026-02-22,0.235955,False
Dior,dior,2026-02-23,1.0,True
Loulou de Saison,loulou de saison,2026-02-23,0.0,False
Courreges,courreges,2026-02-23,0.012821,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-23,0.0,False
The Row,the row,2026-02-23,0.269231,False
Dior,dior,2026-02-24,1.0,True
Loulou de Saison,loulou de saison,2026-02-24,0.0,False
Courreges,courreges,2026-02-24,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-24,0.0,False
The Row,the row,2026-02-24,0.27027,False
Dior,dior,2026-02-25,1.0,True
Loulou de Saison,loulou de saison,2026-02-25,0.0,False
Courreges,courreges,2026-02-25,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-25,0.0,False
The Row,the row,2026-02-25,0.298701,False
Dior,dior,2026-02-26,1.0,True
Loulou de Saison,loulou de saison,2026-02-26,0.0,False
Courreges,courreges,2026-02-26,0.012821,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-26,0.0,False
The Row,the row,2026-02-26,0.307692,False
Dior,dior,2026-02-27,1.0,True
Loulou de Saison,loulou de saison,2026-02-27,0.0,False
Courreges,courreges,2026-02-27,0.012346,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-27,0.0,False
The Row,the row,2026-02-27,0.308642,False
Dior,dior,2026-02-28,1.0,True
Loulou de Saison,loulou de saison,2026-02-28,0.0,False
Courreges,courreges,2026-02-28,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-02-28,0.0,False
The Row,the row,2026-02-28,0.22093,False
Dior,dior,2026-03-01,1.0,True
Loulou de Saison,loulou de saison,2026-03-01,0.0,False
Courreges,courreges,2026-03-01,0.011364,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-01,0.0,False
The Row,the row,2026-03-01,0.204545,False
Dior,dior,2026-03-02,1.0,True
Loulou de Saison,loulou de saison,2026-03-02,0.0,False
Courreges,courreges,2026-03-02,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-02,0.0,False
The Row,the row,2026-03-02,0.263158,False
Dior,dior,2026-03-03,1.0,True
Loulou de Saison,loulou de saison,2026-03-03,0.0,False
Courreges,courreges,2026-03-03,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-03,0.0,False
The Row,the row,2026-03-03,0.25,False
Dior,dior,2026-03-04,1.0,True
Loulou de Saison,loulou de saison,2026-03-04,0.0,False
Courreges,courreges,2026-03-04,0.011905,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-04,0.0,False
The Row,the row,2026-03-04,0.22619,False
Dior,dior,2026-03-05,1.0,True
Loulou de Saison,loulou de saison,2026-03-05,0.0,False
Courreges,courreges,2026-03-05,0.011905,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-05,0.0,False
The Row,the row,2026-03-05,0.22619,False
Dior,dior,2026-03-06,1.0,True
Loulou de Saison,loulou de saison,2026-03-06,0.0,False
Courreges,courreges,2026-03-06,0.011628,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-06,0.0,False
The Row,the row,2026-03-06,0.244186,False
Dior,dior,2026-03-07,1.0,True
Loulou de Saison,loulou de saison,2026-03-07,0.0,False
Courreges,courreges,2026-03-07,0.01,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-07,0.0,False
The Row,the row,2026-03-07,0.19,False
Dior,dior,2026-03-08,1.0,True
Loulou de Saison,loulou de saison,2026-03-08,0.0,False
Courreges,courreges,2026-03-08,0.010101,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-08,0.0,False
The Row,the row,2026-03-08,0.20202,False
Dior,dior,2026-03-09,1.0,True
Loulou de Saison,loulou de saison,2026-03-09,0.0,False
Courreges,courreges,2026-03-09,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-09,0.0,False
The Row,the row,2026-03-09,0.214286,False
Dior,dior,2026-03-10,1.0,True
Loulou de Saison,loulou de saison,2026-03-10,0.0,False
Courreges,courreges,2026-03-10,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-10,0.0,False
The Row,the row,2026-03-10,0.2125,False
Dior,dior,2026-03-11,1.0,True
Loulou de Saison,loulou de saison,2026-03-11,0.0,False
Courreges,courreges,2026-03-11,0.0,False
Reverie By Caroline Hu,reverie by caroline hu,2026-03-11,0.0,False
The Row,the row,2026-03-11,0.231707,False
Dior,dior,2026-03-12,1.0,True
Loulou de Saison,loulou de saison,2026-03-12,0.0,False
Courreges,courreges,2026-03-12,0.012048,False
