brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-16,0.0,False
CO,co,2026-02-16,8.888889,False
Weinsanto,weinsanto,2026-02-16,0.0,False
Vautrait,vautrait,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-17,0.0,False
CO,co,2026-02-17,10.25,False
Weinsanto,weinsanto,2026-02-17,0.0,False
Vautrait,vautrait,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-18,0.0,False
CO,co,2026-02-18,11.125,False
Weinsanto,weinsanto,2026-02-18,0.0,False
Vautrait,vautrait,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-19,0.0,False
CO,co,2026-02-19,9.666667,False
Weinsanto,weinsanto,2026-02-19,0.0,False
Vautrait,vautrait,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-20,0.0,False
CO,co,2026-02-20,10.444444,False
Weinsanto,weinsanto,2026-02-20,0.0,False
Vautrait,vautrait,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-21,0.0,False
CO,co,2026-02-21,8.090909,False
Weinsanto,weinsanto,2026-02-21,0.0,False
Vautrait,vautrait,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-22,0.0,False
CO,co,2026-02-22,9.1,False
Weinsanto,weinsanto,2026-02-22,0.0,False
Vautrait,vautrait,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-23,0.0,False
CO,co,2026-02-23,10.666667,False
Weinsanto,weinsanto,2026-02-23,0.0,False
Vautrait,vautrait,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-24,0.0,False
CO,co,2026-02-24,12.5,False
Weinsanto,weinsanto,2026-02-24,0.0,False
Vautrait,vautrait,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-25,0.0,False
CO,co,2026-02-25,10.555556,False
Weinsanto,weinsanto,2026-02-25,0.0,False
Vautrait,vautrait,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-26,0.0,False
CO,co,2026-02-26,9.666667,False
Weinsanto,weinsanto,2026-02-26,0.0,False
Vautrait,vautrait,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-27,0.0,False
CO,co,2026-02-27,9.0,False
Weinsanto,weinsanto,2026-02-27,0.0,False
Vautrait,vautrait,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
IFM Master of Arts,ifm master of arts,2026-02-28,0.0,False
CO,co,2026-02-28,7.5,False
Weinsanto,weinsanto,2026-02-28,0.0,False
Vautrait,vautrait,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-01,0.0,False
CO,co,2026-03-01,7.9,False
Weinsanto,weinsanto,2026-03-01,0.0,False
Vautrait,vautrait,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-02,0.0,False
CO,co,2026-03-02,9.0,False
Weinsanto,weinsanto,2026-03-02,0.0,False
Vautrait,vautrait,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-03,0.0,False
CO,co,2026-03-03,9.333333,False
Weinsanto,weinsanto,2026-03-03,0.0,False
Vautrait,vautrait,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-04,0.0,False
CO,co,2026-03-04,8.2,False
Weinsanto,weinsanto,2026-03-04,0.0,False
Vautrait,vautrait,2026-03-04,0.0,False
Dior,dior,2026-03-05,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-05,0.0,False
CO,co,2026-03-05,9.555556,False
Weinsanto,weinsanto,2026-03-05,0.0,False
Vautrait,vautrait,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-06,0.0,False
CO,co,2026-03-06,7.9,False
Weinsanto,weinsanto,2026-03-06,0.0,False
Vautrait,vautrait,2026-03-06,0.0,False
Dior,dior,2026-03-07,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-07,0.0,False
CO,co,2026-03-07,7.181818,False
Weinsanto,weinsanto,2026-03-07,0.0,False
Vautrait,vautrait,2026-03-07,0.0,False
Dior,dior,2026-03-08,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-08,0.0,False
CO,co,2026-03-08,7.272727,False
Weinsanto,weinsanto,2026-03-08,0.0,False
Vautrait,vautrait,2026-03-08,0.0,False
Dior,dior,2026-03-09,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-09,0.0,False
CO,co,2026-03-09,8.4,False
Weinsanto,weinsanto,2026-03-09,0.0,False
Vautrait,vautrait,2026-03-09,0.0,False
Dior,dior,2026-03-10,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-10,0.0,False
CO,co,2026-03-10,9.333333,False
Weinsanto,weinsanto,2026-03-10,0.0,False
Vautrait,vautrait,2026-03-10,0.0,False
Dior,dior,2026-03-11,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-11,0.0,False
CO,co,2026-03-11,9.111111,False
Weinsanto,weinsanto,2026-03-11,0.0,False
Vautrait,vautrait,2026-03-11,0.0,False
Dior,dior,2026-03-12,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-12,0.0,False
CO,co,2026-03-12,9.222222,False
Weinsanto,weinsanto,2026-03-12,0.0,False
Vautrait,vautrait,2026-03-12,0.0,False
Dior,dior,2026-03-13,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-13,0.0,False
CO,co,2026-03-13,8.3,False
Weinsanto,weinsanto,2026-03-13,0.0,False
Vautrait,vautrait,2026-03-13,0.0,False
Dior,dior,2026-03-14,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-14,0.0,False
CO,co,2026-03-14,7.363636,False
Weinsanto,weinsanto,2026-03-14,0.0,False
Vautrait,vautrait,2026-03-14,0.0,False
Dior,dior,2026-03-15,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-15,0.0,False
CO,co,2026-03-15,7.363636,False
Weinsanto,weinsanto,2026-03-15,0.0,False
Vautrait,vautrait,2026-03-15,0.0,False
Dior,dior,2026-03-16,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-16,0.0,False
CO,co,2026-03-16,9.666667,False
Weinsanto,weinsanto,2026-03-16,0.0,False
Vautrait,vautrait,2026-03-16,0.0,False
Dior,dior,2026-03-17,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-17,0.0,False
CO,co,2026-03-17,9.777778,False
Weinsanto,weinsanto,2026-03-17,0.0,False
Vautrait,vautrait,2026-03-17,0.0,False
Dior,dior,2026-03-18,1.0,True
IFM Master of Arts,ifm master of arts,2026-03-18,0.0,False
CO,co,2026-03-18,9.444444,False
Weinsanto,weinsanto,2026-03-18,0.0,False
Vautrait,vautrait,2026-03-18,0.0,False
