brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Akris,akris,2026-02-16,0.0125,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-16,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-16,0.1,False
Magda Butrym,magda butrym,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Akris,akris,2026-02-17,0.013333,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-17,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-17,0.093333,False
Magda Butrym,magda butrym,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Akris,akris,2026-02-18,0.013333,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-18,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-18,0.08,False
Magda Butrym,magda butrym,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Akris,akris,2026-02-19,0.012987,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-19,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-19,0.090909,False
Magda Butrym,magda butrym,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Akris,akris,2026-02-20,0.012346,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-20,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-20,0.098765,False
Magda Butrym,magda butrym,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Akris,akris,2026-02-21,0.010638,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-21,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-21,0.095745,False
Magda Butrym,magda butrym,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Akris,akris,2026-02-22,0.011236,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-22,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-22,0.089888,False
Magda Butrym,magda butrym,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Akris,akris,2026-02-23,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-23,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-23,0.089744,False
Magda Butrym,magda butrym,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Akris,akris,2026-02-24,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-24,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-24,0.094595,False
Magda Butrym,magda butrym,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Akris,akris,2026-02-25,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-25,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-25,0.090909,False
Magda Butrym,magda butrym,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Akris,akris,2026-02-26,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-26,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-26,0.089744,False
Magda Butrym,magda butrym,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
Akris,akris,2026-02-27,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-27,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-27,0.098765,False
Magda Butrym,magda butrym,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
Akris,akris,2026-02-28,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-02-28,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-02-28,0.093023,False
Magda Butrym,magda butrym,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
Akris,akris,2026-03-01,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-03-01,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-03-01,0.090909,False
Magda Butrym,magda butrym,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
Akris,akris,2026-03-02,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-03-02,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-03-02,0.092105,False
Magda Butrym,magda butrym,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
Akris,akris,2026-03-03,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-03-03,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-03-03,0.092105,False
Magda Butrym,magda butrym,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
Akris,akris,2026-03-04,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-03-04,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-03-04,0.095238,False
Magda Butrym,magda butrym,2026-03-04,0.0,False
Dior,dior,2026-03-05,1.0,True
Akris,akris,2026-03-05,0.0,False
Niccolo Pasqualetti,niccolo pasqualetti,2026-03-05,0.0,False
Jean Paul Gaultier,jean paul gaultier,2026-03-05,0.095238,False
Magda Butrym,magda butrym,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
Akris,akris,2026-03-06,0.0,False
