brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
SONGZIO,songzio,2026-02-16,0.0,False
BLUEMARBLE,bluemarble,2026-02-16,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-16,0.0,False
EGONLAB.,egonlab,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
SONGZIO,songzio,2026-02-17,0.0,False
BLUEMARBLE,bluemarble,2026-02-17,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-17,0.0,False
EGONLAB.,egonlab,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
SONGZIO,songzio,2026-02-18,0.0,False
BLUEMARBLE,bluemarble,2026-02-18,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-18,0.0,False
EGONLAB.,egonlab,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
SONGZIO,songzio,2026-02-19,0.0,False
BLUEMARBLE,bluemarble,2026-02-19,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-19,0.0,False
EGONLAB.,egonlab,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
SONGZIO,songzio,2026-02-20,0.0,False
BLUEMARBLE,bluemarble,2026-02-20,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-20,0.0,False
EGONLAB.,egonlab,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
SONGZIO,songzio,2026-02-21,0.0,False
BLUEMARBLE,bluemarble,2026-02-21,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-21,0.0,False
EGONLAB.,egonlab,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
SONGZIO,songzio,2026-02-22,0.0,False
BLUEMARBLE,bluemarble,2026-02-22,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-22,0.0,False
EGONLAB.,egonlab,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
SONGZIO,songzio,2026-02-23,0.0,False
BLUEMARBLE,bluemarble,2026-02-23,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-23,0.0,False
EGONLAB.,egonlab,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
SONGZIO,songzio,2026-02-24,0.0,False
BLUEMARBLE,bluemarble,2026-02-24,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-24,0.0,False
EGONLAB.,egonlab,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
SONGZIO,songzio,2026-02-25,0.0,False
BLUEMARBLE,bluemarble,2026-02-25,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-25,0.0,False
EGONLAB.,egonlab,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
SONGZIO,songzio,2026-02-26,0.0,False
BLUEMARBLE,bluemarble,2026-02-26,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-26,0.0,False
EGONLAB.,egonlab,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
SONGZIO,songzio,2026-02-27,0.0,False
BLUEMARBLE,bluemarble,2026-02-27,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-27,0.0,False
EGONLAB.,egonlab,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
SONGZIO,songzio,2026-02-28,0.0,False
BLUEMARBLE,bluemarble,2026-02-28,0.0,False
JEANNE FRIOT,jeanne friot,2026-02-28,0.0,False
EGONLAB.,egonlab,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
SONGZIO,songzio,2026-03-01,0.0,False
BLUEMARBLE,bluemarble,2026-03-01,0.0,False
