brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Off-White,offwhite,2026-02-16,0.0625,False
Carven,carven,2026-02-16,0.0,False
Rabanne,rabanne,2026-02-16,0.0875,False
Uma Wang,uma wang,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Off-White,offwhite,2026-02-17,0.066667,False
Carven,carven,2026-02-17,0.0,False
Rabanne,rabanne,2026-02-17,0.08,False
Uma Wang,uma wang,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Off-White,offwhite,2026-02-18,0.066667,False
Carven,carven,2026-02-18,0.0,False
Rabanne,rabanne,2026-02-18,0.08,False
Uma Wang,uma wang,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Off-White,offwhite,2026-02-19,0.051948,False
Carven,carven,2026-02-19,0.0,False
Rabanne,rabanne,2026-02-19,0.077922,False
Uma Wang,uma wang,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Off-White,offwhite,2026-02-20,0.049383,False
Carven,carven,2026-02-20,0.0,False
Rabanne,rabanne,2026-02-20,0.08642,False
Uma Wang,uma wang,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Off-White,offwhite,2026-02-21,0.042553,False
Carven,carven,2026-02-21,0.0,False
Rabanne,rabanne,2026-02-21,0.074468,False
Uma Wang,uma wang,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Off-White,offwhite,2026-02-22,0.044944,False
Carven,carven,2026-02-22,0.0,False
Rabanne,rabanne,2026-02-22,0.078652,False
Uma Wang,uma wang,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Off-White,offwhite,2026-02-23,0.038462,False
Carven,carven,2026-02-23,0.0,False
Rabanne,rabanne,2026-02-23,0.076923,False
Uma Wang,uma wang,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Off-White,offwhite,2026-02-24,0.040541,False
Carven,carven,2026-02-24,0.0,False
Rabanne,rabanne,2026-02-24,0.081081,False
Uma Wang,uma wang,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Off-White,offwhite,2026-02-25,0.051948,False
Carven,carven,2026-02-25,0.0,False
Rabanne,rabanne,2026-02-25,0.077922,False
Uma Wang,uma wang,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Off-White,offwhite,2026-02-26,0.038462,False
Carven,carven,2026-02-26,0.0,False
Rabanne,rabanne,2026-02-26,0.076923,False
Uma Wang,uma wang,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
Off-White,offwhite,2026-02-27,0.037037,False
Carven,carven,2026-02-27,0.0,False
Rabanne,rabanne,2026-02-27,0.074074,False
Uma Wang,uma wang,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
Off-White,offwhite,2026-02-28,0.023256,False
Carven,carven,2026-02-28,0.0,False
Rabanne,rabanne,2026-02-28,0.081395,False
Uma Wang,uma wang,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
Off-White,offwhite,2026-03-01,0.022727,False
Carven,carven,2026-03-01,0.0,False
Rabanne,rabanne,2026-03-01,0.079545,False
Uma Wang,uma wang,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
Off-White,offwhite,2026-03-02,0.026316,False
Carven,carven,2026-03-02,0.0,False
Rabanne,rabanne,2026-03-02,0.065789,False
Uma Wang,uma wang,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
Off-White,offwhite,2026-03-03,0.026316,False
Carven,carven,2026-03-03,0.0,False
Rabanne,rabanne,2026-03-03,0.078947,False
Uma Wang,uma wang,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
Off-White,offwhite,2026-03-04,0.02381,False
Carven,carven,2026-03-04,0.0,False
Rabanne,rabanne,2026-03-04,0.071429,False
Uma Wang,uma wang,2026-03-04,0.0,False
Dior,dior,2026-03-05,1.0,True
Off-White,offwhite,2026-03-05,0.02381,False
Carven,carven,2026-03-05,0.0,False
Rabanne,rabanne,2026-03-05,0.083333,False
Uma Wang,uma wang,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
Off-White,offwhite,2026-03-06,0.023256,False
Carven,carven,2026-03-06,0.0,False
Rabanne,rabanne,2026-03-06,0.069767,False
Uma Wang,uma wang,2026-03-06,0.0,False
Dior,dior,2026-03-07,1.0,True
Off-White,offwhite,2026-03-07,0.02,False
Carven,carven,2026-03-07,0.0,False
Rabanne,rabanne,2026-03-07,0.08,False
Uma Wang,uma wang,2026-03-07,0.0,False
Dior,dior,2026-03-08,1.0,True
Off-White,offwhite,2026-03-08,0.020202,False
