brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Vaillant,vaillant,2026-02-16,0.1125,False
Jitrois,jitrois,2026-02-16,0.0,False
Lanvin,lanvin,2026-02-16,0.0375,False
Nina Ricci,nina ricci,2026-02-16,0.0125,False
Dior,dior,2026-02-17,1.0,True
Vaillant,vaillant,2026-02-17,0.106667,False
Jitrois,jitrois,2026-02-17,0.0,False
Lanvin,lanvin,2026-02-17,0.026667,False
Nina Ricci,nina ricci,2026-02-17,0.013333,False
Dior,dior,2026-02-18,1.0,True
Vaillant,vaillant,2026-02-18,0.106667,False
Jitrois,jitrois,2026-02-18,0.0,False
Lanvin,lanvin,2026-02-18,0.026667,False
Nina Ricci,nina ricci,2026-02-18,0.013333,False
Dior,dior,2026-02-19,1.0,True
Vaillant,vaillant,2026-02-19,0.103896,False
Jitrois,jitrois,2026-02-19,0.0,False
Lanvin,lanvin,2026-02-19,0.038961,False
Nina Ricci,nina ricci,2026-02-19,0.012987,False
Dior,dior,2026-02-20,1.0,True
Vaillant,vaillant,2026-02-20,0.098765,False
Jitrois,jitrois,2026-02-20,0.0,False
Lanvin,lanvin,2026-02-20,0.024691,False
Nina Ricci,nina ricci,2026-02-20,0.012346,False
Dior,dior,2026-02-21,1.0,True
Vaillant,vaillant,2026-02-21,0.06383,False
Jitrois,jitrois,2026-02-21,0.0,False
Lanvin,lanvin,2026-02-21,0.031915,False
Nina Ricci,nina ricci,2026-02-21,0.010638,False
Dior,dior,2026-02-22,1.0,True
Vaillant,vaillant,2026-02-22,0.067416,False
Jitrois,jitrois,2026-02-22,0.0,False
Lanvin,lanvin,2026-02-22,0.033708,False
Nina Ricci,nina ricci,2026-02-22,0.011236,False
Dior,dior,2026-02-23,1.0,True
Vaillant,vaillant,2026-02-23,0.102564,False
Jitrois,jitrois,2026-02-23,0.0,False
Lanvin,lanvin,2026-02-23,0.025641,False
Nina Ricci,nina ricci,2026-02-23,0.012821,False
Dior,dior,2026-02-24,1.0,True
Vaillant,vaillant,2026-02-24,0.108108,False
Jitrois,jitrois,2026-02-24,0.0,False
Lanvin,lanvin,2026-02-24,0.027027,False
Nina Ricci,nina ricci,2026-02-24,0.013514,False
Dior,dior,2026-02-25,1.0,True
Vaillant,vaillant,2026-02-25,0.090909,False
Jitrois,jitrois,2026-02-25,0.0,False
Lanvin,lanvin,2026-02-25,0.025974,False
Nina Ricci,nina ricci,2026-02-25,0.012987,False
Dior,dior,2026-02-26,1.0,True
Vaillant,vaillant,2026-02-26,0.102564,False
Jitrois,jitrois,2026-02-26,0.0,False
Lanvin,lanvin,2026-02-26,0.025641,False
Nina Ricci,nina ricci,2026-02-26,0.012821,False
Dior,dior,2026-02-27,1.0,True
Vaillant,vaillant,2026-02-27,0.08642,False
Jitrois,jitrois,2026-02-27,0.0,False
Lanvin,lanvin,2026-02-27,0.024691,False
Nina Ricci,nina ricci,2026-02-27,0.012346,False
Dior,dior,2026-02-28,1.0,True
Vaillant,vaillant,2026-02-28,0.069767,False
Jitrois,jitrois,2026-02-28,0.0,False
Lanvin,lanvin,2026-02-28,0.023256,False
Nina Ricci,nina ricci,2026-02-28,0.011628,False
Dior,dior,2026-03-01,1.0,True
Vaillant,vaillant,2026-03-01,0.068182,False
Jitrois,jitrois,2026-03-01,0.0,False
Lanvin,lanvin,2026-03-01,0.034091,False
Nina Ricci,nina ricci,2026-03-01,0.011364,False
Dior,dior,2026-03-02,1.0,True
Vaillant,vaillant,2026-03-02,0.092105,False
Jitrois,jitrois,2026-03-02,0.0,False
Lanvin,lanvin,2026-03-02,0.026316,False
Nina Ricci,nina ricci,2026-03-02,0.013158,False
Dior,dior,2026-03-03,1.0,True
Vaillant,vaillant,2026-03-03,0.105263,False
Jitrois,jitrois,2026-03-03,0.0,False
Lanvin,lanvin,2026-03-03,0.026316,False
Nina Ricci,nina ricci,2026-03-03,0.013158,False
Dior,dior,2026-03-04,1.0,True
Vaillant,vaillant,2026-03-04,0.095238,False
Jitrois,jitrois,2026-03-04,0.0,False
Lanvin,lanvin,2026-03-04,0.02381,False
Nina Ricci,nina ricci,2026-03-04,0.011905,False
Dior,dior,2026-03-05,1.0,True
Vaillant,vaillant,2026-03-05,0.083333,False
Jitrois,jitrois,2026-03-05,0.0,False
Lanvin,lanvin,2026-03-05,0.035714,False
Nina Ricci,nina ricci,2026-03-05,0.011905,False
Dior,dior,2026-03-06,1.0,True
Vaillant,vaillant,2026-03-06,0.081395,False
Jitrois,jitrois,2026-03-06,0.0,False
Lanvin,lanvin,2026-03-06,0.023256,False
Nina Ricci,nina ricci,2026-03-06,0.011628,False
Dior,dior,2026-03-07,1.0,True
Vaillant,vaillant,2026-03-07,0.06,False
Jitrois,jitrois,2026-03-07,0.0,False
Lanvin,lanvin,2026-03-07,0.03,False
Nina Ricci,nina ricci,2026-03-07,0.01,False
Dior,dior,2026-03-08,1.0,True
Vaillant,vaillant,2026-03-08,0.060606,False
Jitrois,jitrois,2026-03-08,0.0,False
Lanvin,lanvin,2026-03-08,0.030303,False
Nina Ricci,nina ricci,2026-03-08,0.010101,False
Dior,dior,2026-03-09,1.0,True
Vaillant,vaillant,2026-03-09,0.095238,False
Jitrois,jitrois,2026-03-09,0.0,False
Lanvin,lanvin,2026-03-09,0.035714,False
Nina Ricci,nina ricci,2026-03-09,0.011905,False
Dior,dior,2026-03-10,1.0,True
Vaillant,vaillant,2026-03-10,0.0875,False
Jitrois,jitrois,2026-03-10,0.0,False
Lanvin,lanvin,2026-03-10,0.025,False
Nina Ricci,nina ricci,2026-03-10,0.0125,False
Dior,dior,2026-03-11,1.0,True
Vaillant,vaillant,2026-03-11,0.085366,False
Jitrois,jitrois,2026-03-11,0.0,False
Lanvin,lanvin,2026-03-11,0.02439,False
Nina Ricci,nina ricci,2026-03-11,0.012195,False
Dior,dior,2026-03-12,1.0,True
Vaillant,vaillant,2026-03-12,0.084337,False
Jitrois,jitrois,2026-03-12,0.0,False
Lanvin,lanvin,2026-03-12,0.024096,False
Nina Ricci,nina ricci,2026-03-12,0.012048,False
Dior,dior,2026-03-13,1.0,True
Vaillant,vaillant,2026-03-13,0.076087,False
Jitrois,jitrois,2026-03-13,0.0,False
Lanvin,lanvin,2026-03-13,0.021739,False
Nina Ricci,nina ricci,2026-03-13,0.01087,False
Dior,dior,2026-03-14,1.0,True
Vaillant,vaillant,2026-03-14,0.061856,False
Jitrois,jitrois,2026-03-14,0.0,False
Lanvin,lanvin,2026-03-14,0.030928,False
Nina Ricci,nina ricci,2026-03-14,0.010309,False
Dior,dior,2026-03-15,1.0,True
Vaillant,vaillant,2026-03-15,0.06383,False
Jitrois,jitrois,2026-03-15,0.0,False
Lanvin,lanvin,2026-03-15,0.031915,False
Nina Ricci,nina ricci,2026-03-15,0.010638,False
Dior,dior,2026-03-16,1.0,True
Vaillant,vaillant,2026-03-16,0.097561,False
Jitrois,jitrois,2026-03-16,0.0,False
Lanvin,lanvin,2026-03-16,0.02439,False
Nina Ricci,nina ricci,2026-03-16,0.012195,False
Dior,dior,2026-03-17,1.0,True
Vaillant,vaillant,2026-03-17,0.090909,False
Jitrois,jitrois,2026-03-17,0.0,False
Lanvin,lanvin,2026-03-17,0.025974,False
Nina Ricci,nina ricci,2026-03-17,0.012987,False
Dior,dior,2026-03-18,1.0,True
