brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
ERL,erl,2026-02-16,0.0125,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-16,0.0,False
VETEMENTS,vetements,2026-02-16,0.05,False
MAGLIANO,magliano,2026-02-16,0.0125,False
Dior,dior,2026-02-17,1.0,True
ERL,erl,2026-02-17,0.013333,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-17,0.0,False
VETEMENTS,vetements,2026-02-17,0.053333,False
MAGLIANO,magliano,2026-02-17,0.013333,False
Dior,dior,2026-02-18,1.0,True
ERL,erl,2026-02-18,0.013333,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-18,0.0,False
VETEMENTS,vetements,2026-02-18,0.053333,False
MAGLIANO,magliano,2026-02-18,0.013333,False
Dior,dior,2026-02-19,1.0,True
ERL,erl,2026-02-19,0.012987,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-19,0.0,False
VETEMENTS,vetements,2026-02-19,0.051948,False
MAGLIANO,magliano,2026-02-19,0.012987,False
Dior,dior,2026-02-20,1.0,True
ERL,erl,2026-02-20,0.012346,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-20,0.0,False
VETEMENTS,vetements,2026-02-20,0.049383,False
MAGLIANO,magliano,2026-02-20,0.012346,False
Dior,dior,2026-02-21,1.0,True
ERL,erl,2026-02-21,0.010638,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-21,0.0,False
VETEMENTS,vetements,2026-02-21,0.042553,False
MAGLIANO,magliano,2026-02-21,0.010638,False
Dior,dior,2026-02-22,1.0,True
ERL,erl,2026-02-22,0.011236,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-22,0.0,False
VETEMENTS,vetements,2026-02-22,0.044944,False
MAGLIANO,magliano,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
ERL,erl,2026-02-23,0.012821,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-23,0.0,False
VETEMENTS,vetements,2026-02-23,0.051282,False
MAGLIANO,magliano,2026-02-23,0.012821,False
Dior,dior,2026-02-24,1.0,True
ERL,erl,2026-02-24,0.013514,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-24,0.0,False
VETEMENTS,vetements,2026-02-24,0.054054,False
MAGLIANO,magliano,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
ERL,erl,2026-02-25,0.012987,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-25,0.0,False
VETEMENTS,vetements,2026-02-25,0.051948,False
MAGLIANO,magliano,2026-02-25,0.012987,False
Dior,dior,2026-02-26,1.0,True
ERL,erl,2026-02-26,0.012821,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-26,0.0,False
VETEMENTS,vetements,2026-02-26,0.051282,False
MAGLIANO,magliano,2026-02-26,0.012821,False
Dior,dior,2026-02-27,1.0,True
ERL,erl,2026-02-27,0.012346,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-27,0.0,False
VETEMENTS,vetements,2026-02-27,0.049383,False
MAGLIANO,magliano,2026-02-27,0.012346,False
Dior,dior,2026-02-28,1.0,True
ERL,erl,2026-02-28,0.011628,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-02-28,0.0,False
VETEMENTS,vetements,2026-02-28,0.046512,False
MAGLIANO,magliano,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
ERL,erl,2026-03-01,0.011364,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-03-01,0.0,False
VETEMENTS,vetements,2026-03-01,0.045455,False
MAGLIANO,magliano,2026-03-01,0.011364,False
Dior,dior,2026-03-02,1.0,True
ERL,erl,2026-03-02,0.013158,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-03-02,0.0,False
VETEMENTS,vetements,2026-03-02,0.052632,False
MAGLIANO,magliano,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
ERL,erl,2026-03-03,0.013158,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-03-03,0.0,False
VETEMENTS,vetements,2026-03-03,0.052632,False
MAGLIANO,magliano,2026-03-03,0.013158,False
Dior,dior,2026-03-04,1.0,True
ERL,erl,2026-03-04,0.011905,False
LGN LOUIS-GABRIEL NOUCHI,lgn louisgabriel nouchi,2026-03-04,0.0,False
VETEMENTS,vetements,2026-03-04,0.047619,False
