brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-16,0.0,False
Abra,abra,2026-02-16,0.075,False
Boyarovskaya,boyarovskaya,2026-02-16,0.0,False
Agnes b.,agnes b,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-17,0.0,False
Abra,abra,2026-02-17,0.08,False
Boyarovskaya,boyarovskaya,2026-02-17,0.0,False
Agnes b.,agnes b,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-18,0.0,False
Abra,abra,2026-02-18,0.093333,False
Boyarovskaya,boyarovskaya,2026-02-18,0.0,False
Agnes b.,agnes b,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-19,0.0,False
Abra,abra,2026-02-19,0.077922,False
Boyarovskaya,boyarovskaya,2026-02-19,0.0,False
Agnes b.,agnes b,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-20,0.0,False
Abra,abra,2026-02-20,0.074074,False
Boyarovskaya,boyarovskaya,2026-02-20,0.0,False
Agnes b.,agnes b,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-21,0.0,False
Abra,abra,2026-02-21,0.074468,False
Boyarovskaya,boyarovskaya,2026-02-21,0.0,False
Agnes b.,agnes b,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-22,0.0,False
Abra,abra,2026-02-22,0.078652,False
Boyarovskaya,boyarovskaya,2026-02-22,0.0,False
Agnes b.,agnes b,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-23,0.0,False
Abra,abra,2026-02-23,0.102564,False
Boyarovskaya,boyarovskaya,2026-02-23,0.0,False
Agnes b.,agnes b,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-24,0.0,False
Abra,abra,2026-02-24,0.094595,False
Boyarovskaya,boyarovskaya,2026-02-24,0.0,False
Agnes b.,agnes b,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-25,0.0,False
Abra,abra,2026-02-25,0.077922,False
Boyarovskaya,boyarovskaya,2026-02-25,0.0,False
Agnes b.,agnes b,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Kiko Kostadinov,kiko kostadinov,2026-02-26,0.0,False
