brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Givenchy,givenchy,2026-02-16,0.1375,False
Yohji Yamamoto,yohji yamamoto,2026-02-16,0.0125,False
Victoria Beckham,victoria beckham,2026-02-16,0.05,False
Barbara Bui,barbara bui,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Givenchy,givenchy,2026-02-17,0.133333,False
Yohji Yamamoto,yohji yamamoto,2026-02-17,0.013333,False
Victoria Beckham,victoria beckham,2026-02-17,0.04,False
Barbara Bui,barbara bui,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Givenchy,givenchy,2026-02-18,0.12,False
Yohji Yamamoto,yohji yamamoto,2026-02-18,0.013333,False
Victoria Beckham,victoria beckham,2026-02-18,0.04,False
Barbara Bui,barbara bui,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Givenchy,givenchy,2026-02-19,0.12987,False
Yohji Yamamoto,yohji yamamoto,2026-02-19,0.012987,False
Victoria Beckham,victoria beckham,2026-02-19,0.038961,False
Barbara Bui,barbara bui,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Givenchy,givenchy,2026-02-20,0.135802,False
Yohji Yamamoto,yohji yamamoto,2026-02-20,0.012346,False
Victoria Beckham,victoria beckham,2026-02-20,0.049383,False
Barbara Bui,barbara bui,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Givenchy,givenchy,2026-02-21,0.117021,False
Yohji Yamamoto,yohji yamamoto,2026-02-21,0.010638,False
Victoria Beckham,victoria beckham,2026-02-21,0.042553,False
Barbara Bui,barbara bui,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Givenchy,givenchy,2026-02-22,0.11236,False
Yohji Yamamoto,yohji yamamoto,2026-02-22,0.011236,False
Victoria Beckham,victoria beckham,2026-02-22,0.044944,False
Barbara Bui,barbara bui,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Givenchy,givenchy,2026-02-23,0.115385,False
Yohji Yamamoto,yohji yamamoto,2026-02-23,0.012821,False
Victoria Beckham,victoria beckham,2026-02-23,0.038462,False
Barbara Bui,barbara bui,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Givenchy,givenchy,2026-02-24,0.121622,False
Yohji Yamamoto,yohji yamamoto,2026-02-24,0.013514,False
Victoria Beckham,victoria beckham,2026-02-24,0.040541,False
Barbara Bui,barbara bui,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Givenchy,givenchy,2026-02-25,0.116883,False
Yohji Yamamoto,yohji yamamoto,2026-02-25,0.012987,False
Victoria Beckham,victoria beckham,2026-02-25,0.038961,False
Barbara Bui,barbara bui,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Givenchy,givenchy,2026-02-26,0.128205,False
Yohji Yamamoto,yohji yamamoto,2026-02-26,0.012821,False
Victoria Beckham,victoria beckham,2026-02-26,0.038462,False
Barbara Bui,barbara bui,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
Givenchy,givenchy,2026-02-27,0.123457,False
Yohji Yamamoto,yohji yamamoto,2026-02-27,0.012346,False
Victoria Beckham,victoria beckham,2026-02-27,0.037037,False
Barbara Bui,barbara bui,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
Givenchy,givenchy,2026-02-28,0.127907,False
Yohji Yamamoto,yohji yamamoto,2026-02-28,0.011628,False
Victoria Beckham,victoria beckham,2026-02-28,0.046512,False
Barbara Bui,barbara bui,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
Givenchy,givenchy,2026-03-01,0.113636,False
Yohji Yamamoto,yohji yamamoto,2026-03-01,0.011364,False
Victoria Beckham,victoria beckham,2026-03-01,0.045455,False
Barbara Bui,barbara bui,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
Givenchy,givenchy,2026-03-02,0.118421,False
Yohji Yamamoto,yohji yamamoto,2026-03-02,0.013158,False
Victoria Beckham,victoria beckham,2026-03-02,0.039474,False
Barbara Bui,barbara bui,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
Givenchy,givenchy,2026-03-03,0.118421,False
Yohji Yamamoto,yohji yamamoto,2026-03-03,0.013158,False
Victoria Beckham,victoria beckham,2026-03-03,0.039474,False
Barbara Bui,barbara bui,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
Givenchy,givenchy,2026-03-04,0.119048,False
Yohji Yamamoto,yohji yamamoto,2026-03-04,0.011905,False
Victoria Beckham,victoria beckham,2026-03-04,0.047619,False
Barbara Bui,barbara bui,2026-03-04,0.0,False
Dior,dior,2026-03-05,1.0,True
Givenchy,givenchy,2026-03-05,0.119048,False
Yohji Yamamoto,yohji yamamoto,2026-03-05,0.011905,False
Victoria Beckham,victoria beckham,2026-03-05,0.047619,False
Barbara Bui,barbara bui,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
Givenchy,givenchy,2026-03-06,0.116279,False
Yohji Yamamoto,yohji yamamoto,2026-03-06,0.011628,False
Victoria Beckham,victoria beckham,2026-03-06,0.046512,False
Barbara Bui,barbara bui,2026-03-06,0.0,False
Dior,dior,2026-03-07,1.0,True
Givenchy,givenchy,2026-03-07,0.12,False
Yohji Yamamoto,yohji yamamoto,2026-03-07,0.01,False
Victoria Beckham,victoria beckham,2026-03-07,0.05,False
Barbara Bui,barbara bui,2026-03-07,0.0,False
Dior,dior,2026-03-08,1.0,True
Givenchy,givenchy,2026-03-08,0.111111,False
Yohji Yamamoto,yohji yamamoto,2026-03-08,0.010101,False
Victoria Beckham,victoria beckham,2026-03-08,0.050505,False
Barbara Bui,barbara bui,2026-03-08,0.0,False
Dior,dior,2026-03-09,1.0,True
Givenchy,givenchy,2026-03-09,0.119048,False
Yohji Yamamoto,yohji yamamoto,2026-03-09,0.011905,False
Victoria Beckham,victoria beckham,2026-03-09,0.035714,False
Barbara Bui,barbara bui,2026-03-09,0.0,False
Dior,dior,2026-03-10,1.0,True
Givenchy,givenchy,2026-03-10,0.1125,False
Yohji Yamamoto,yohji yamamoto,2026-03-10,0.0125,False
Victoria Beckham,victoria beckham,2026-03-10,0.0375,False
Barbara Bui,barbara bui,2026-03-10,0.0,False
Dior,dior,2026-03-11,1.0,True
Givenchy,givenchy,2026-03-11,0.109756,False
Yohji Yamamoto,yohji yamamoto,2026-03-11,0.012195,False
Victoria Beckham,victoria beckham,2026-03-11,0.036585,False
Barbara Bui,barbara bui,2026-03-11,0.0,False
Dior,dior,2026-03-12,1.0,True
Givenchy,givenchy,2026-03-12,0.120482,False
Yohji Yamamoto,yohji yamamoto,2026-03-12,0.012048,False
Victoria Beckham,victoria beckham,2026-03-12,0.036145,False
Barbara Bui,barbara bui,2026-03-12,0.0,False
Dior,dior,2026-03-13,1.0,True
Givenchy,givenchy,2026-03-13,0.108696,False
Yohji Yamamoto,yohji yamamoto,2026-03-13,0.01087,False
Victoria Beckham,victoria beckham,2026-03-13,0.032609,False
Barbara Bui,barbara bui,2026-03-13,0.0,False
Dior,dior,2026-03-14,1.0,True
Givenchy,givenchy,2026-03-14,0.113402,False
Yohji Yamamoto,yohji yamamoto,2026-03-14,0.010309,False
Victoria Beckham,victoria beckham,2026-03-14,0.041237,False
Barbara Bui,barbara bui,2026-03-14,0.0,False
Dior,dior,2026-03-15,1.0,True
Givenchy,givenchy,2026-03-15,0.117021,False
Yohji Yamamoto,yohji yamamoto,2026-03-15,0.010638,False
Victoria Beckham,victoria beckham,2026-03-15,0.042553,False
Barbara Bui,barbara bui,2026-03-15,0.0,False
Dior,dior,2026-03-16,1.0,True
Givenchy,givenchy,2026-03-16,0.109756,False
Yohji Yamamoto,yohji yamamoto,2026-03-16,0.012195,False
Victoria Beckham,victoria beckham,2026-03-16,0.036585,False
Barbara Bui,barbara bui,2026-03-16,0.0,False
Dior,dior,2026-03-17,1.0,True
Givenchy,givenchy,2026-03-17,0.116883,False
Yohji Yamamoto,yohji yamamoto,2026-03-17,0.012987,False
Victoria Beckham,victoria beckham,2026-03-17,0.038961,False
Barbara Bui,barbara bui,2026-03-17,0.0,False
Dior,dior,2026-03-18,1.0,True
Givenchy,givenchy,2026-03-18,0.1125,False
Yohji Yamamoto,yohji yamamoto,2026-03-18,0.0125,False
Victoria Beckham,victoria beckham,2026-03-18,0.05,False
Barbara Bui,barbara bui,2026-03-18,0.0,False
