brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Ungaro,ungaro,2026-02-16,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-16,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-16,0.0,False
Time,time,2026-02-16,35.0,False
Dior,dior,2026-02-17,1.0,True
Ungaro,ungaro,2026-02-17,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-17,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-17,0.0,False
Time,time,2026-02-17,36.0,False
Dior,dior,2026-02-18,1.0,True
Ungaro,ungaro,2026-02-18,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-18,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-18,0.0,False
Time,time,2026-02-18,42.5,False
Dior,dior,2026-02-19,1.0,True
Ungaro,ungaro,2026-02-19,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-19,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-19,0.0,False
Time,time,2026-02-19,42.0,False
Dior,dior,2026-02-20,1.0,True
Ungaro,ungaro,2026-02-20,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-20,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-20,0.0,False
Time,time,2026-02-20,40.5,False
Dior,dior,2026-02-21,1.0,True
Ungaro,ungaro,2026-02-21,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-21,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-21,0.0,False
Time,time,2026-02-21,25.0,False
Dior,dior,2026-02-22,1.0,True
Ungaro,ungaro,2026-02-22,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-22,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-22,0.0,False
Time,time,2026-02-22,36.5,False
Dior,dior,2026-02-23,1.0,True
Ungaro,ungaro,2026-02-23,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-23,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-23,0.0,False
Time,time,2026-02-23,35.5,False
Dior,dior,2026-02-24,1.0,True
Ungaro,ungaro,2026-02-24,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-24,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-24,0.0,False
Time,time,2026-02-24,37.0,False
Dior,dior,2026-02-25,1.0,True
Ungaro,ungaro,2026-02-25,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-25,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-25,0.0,False
Time,time,2026-02-25,36.5,False
Dior,dior,2026-02-26,1.0,True
Ungaro,ungaro,2026-02-26,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-26,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-26,0.0,False
Time,time,2026-02-26,38.5,False
Dior,dior,2026-02-27,1.0,True
Ungaro,ungaro,2026-02-27,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-27,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-27,0.0,False
Time,time,2026-02-27,38.5,False
Dior,dior,2026-02-28,1.0,True
Ungaro,ungaro,2026-02-28,0.0,False
Shiatzy Chen,shiatzy chen,2026-02-28,0.0,False
Gabriela Hearst,gabriela hearst,2026-02-28,0.0,False
Time,time,2026-02-28,37.0,False
Dior,dior,2026-03-01,1.0,True
Ungaro,ungaro,2026-03-01,0.0,False
Shiatzy Chen,shiatzy chen,2026-03-01,0.0,False
Gabriela Hearst,gabriela hearst,2026-03-01,0.0,False
Time,time,2026-03-01,36.0,False
Dior,dior,2026-03-02,1.0,True
Ungaro,ungaro,2026-03-02,0.0,False
Shiatzy Chen,shiatzy chen,2026-03-02,0.0,False
Gabriela Hearst,gabriela hearst,2026-03-02,0.0,False
Time,time,2026-03-02,37.5,False
Dior,dior,2026-03-03,1.0,True
Ungaro,ungaro,2026-03-03,0.0,False
Shiatzy Chen,shiatzy chen,2026-03-03,0.0,False
Gabriela Hearst,gabriela hearst,2026-03-03,0.0,False
Time,time,2026-03-03,42.0,False
Dior,dior,2026-03-04,1.0,True
Ungaro,ungaro,2026-03-04,0.0,False
