brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Mossi,mossi,2026-02-16,0.0125,False
Rick Owens,rick owens,2026-02-16,0.0625,False
Isabel Marant,isabel marant,2026-02-16,0.0625,False
Mugler,mugler,2026-02-16,0.0375,False
Dior,dior,2026-02-17,1.0,True
Mossi,mossi,2026-02-17,0.013333,False
Rick Owens,rick owens,2026-02-17,0.066667,False
Isabel Marant,isabel marant,2026-02-17,0.053333,False
Mugler,mugler,2026-02-17,0.04,False
Dior,dior,2026-02-18,1.0,True
Mossi,mossi,2026-02-18,0.013333,False
Rick Owens,rick owens,2026-02-18,0.066667,False
Isabel Marant,isabel marant,2026-02-18,0.053333,False
Mugler,mugler,2026-02-18,0.04,False
Dior,dior,2026-02-19,1.0,True
Mossi,mossi,2026-02-19,0.012987,False
Rick Owens,rick owens,2026-02-19,0.064935,False
Isabel Marant,isabel marant,2026-02-19,0.051948,False
Mugler,mugler,2026-02-19,0.038961,False
Dior,dior,2026-02-20,1.0,True
Mossi,mossi,2026-02-20,0.012346,False
Rick Owens,rick owens,2026-02-20,0.061728,False
Isabel Marant,isabel marant,2026-02-20,0.049383,False
Mugler,mugler,2026-02-20,0.037037,False
Dior,dior,2026-02-21,1.0,True
Mossi,mossi,2026-02-21,0.010638,False
Rick Owens,rick owens,2026-02-21,0.06383,False
Isabel Marant,isabel marant,2026-02-21,0.042553,False
Mugler,mugler,2026-02-21,0.042553,False
Dior,dior,2026-02-22,1.0,True
Mossi,mossi,2026-02-22,0.011236,False
Rick Owens,rick owens,2026-02-22,0.067416,False
Isabel Marant,isabel marant,2026-02-22,0.044944,False
Mugler,mugler,2026-02-22,0.033708,False
Dior,dior,2026-02-23,1.0,True
Mossi,mossi,2026-02-23,0.012821,False
Rick Owens,rick owens,2026-02-23,0.064103,False
Isabel Marant,isabel marant,2026-02-23,0.051282,False
Mugler,mugler,2026-02-23,0.038462,False
Dior,dior,2026-02-24,1.0,True
Mossi,mossi,2026-02-24,0.013514,False
Rick Owens,rick owens,2026-02-24,0.067568,False
Isabel Marant,isabel marant,2026-02-24,0.040541,False
Mugler,mugler,2026-02-24,0.040541,False
Dior,dior,2026-02-25,1.0,True
Mossi,mossi,2026-02-25,0.012987,False
Rick Owens,rick owens,2026-02-25,0.064935,False
Isabel Marant,isabel marant,2026-02-25,0.051948,False
Mugler,mugler,2026-02-25,0.038961,False
Dior,dior,2026-02-26,1.0,True
Mossi,mossi,2026-02-26,0.012821,False
Rick Owens,rick owens,2026-02-26,0.064103,False
Isabel Marant,isabel marant,2026-02-26,0.038462,False
Mugler,mugler,2026-02-26,0.038462,False
Dior,dior,2026-02-27,1.0,True
Mossi,mossi,2026-02-27,0.012346,False
Rick Owens,rick owens,2026-02-27,0.061728,False
Isabel Marant,isabel marant,2026-02-27,0.049383,False
Mugler,mugler,2026-02-27,0.037037,False
Dior,dior,2026-02-28,1.0,True
Mossi,mossi,2026-02-28,0.011628,False
Rick Owens,rick owens,2026-02-28,0.069767,False
Isabel Marant,isabel marant,2026-02-28,0.046512,False
Mugler,mugler,2026-02-28,0.046512,False
Dior,dior,2026-03-01,1.0,True
Mossi,mossi,2026-03-01,0.011364,False
Rick Owens,rick owens,2026-03-01,0.068182,False
Isabel Marant,isabel marant,2026-03-01,0.045455,False
Mugler,mugler,2026-03-01,0.045455,False
Dior,dior,2026-03-02,1.0,True
Mossi,mossi,2026-03-02,0.013158,False
Rick Owens,rick owens,2026-03-02,0.065789,False
Isabel Marant,isabel marant,2026-03-02,0.052632,False
Mugler,mugler,2026-03-02,0.039474,False
Dior,dior,2026-03-03,1.0,True
Mossi,mossi,2026-03-03,0.013158,False
Rick Owens,rick owens,2026-03-03,0.065789,False
Isabel Marant,isabel marant,2026-03-03,0.052632,False
Mugler,mugler,2026-03-03,0.039474,False
Dior,dior,2026-03-04,1.0,True
Mossi,mossi,2026-03-04,0.011905,False
Rick Owens,rick owens,2026-03-04,0.059524,False
Isabel Marant,isabel marant,2026-03-04,0.047619,False
Mugler,mugler,2026-03-04,0.035714,False
Dior,dior,2026-03-05,1.0,True
Mossi,mossi,2026-03-05,0.011905,False
Rick Owens,rick owens,2026-03-05,0.071429,False
Isabel Marant,isabel marant,2026-03-05,0.047619,False
Mugler,mugler,2026-03-05,0.035714,False
Dior,dior,2026-03-06,1.0,True
Mossi,mossi,2026-03-06,0.011628,False
Rick Owens,rick owens,2026-03-06,0.069767,False
Isabel Marant,isabel marant,2026-03-06,0.046512,False
Mugler,mugler,2026-03-06,0.034884,False
Dior,dior,2026-03-07,1.0,True
Mossi,mossi,2026-03-07,0.01,False
Rick Owens,rick owens,2026-03-07,0.07,False
Isabel Marant,isabel marant,2026-03-07,0.05,False
Mugler,mugler,2026-03-07,0.04,False
Dior,dior,2026-03-08,1.0,True
Mossi,mossi,2026-03-08,0.010101,False
Rick Owens,rick owens,2026-03-08,0.070707,False
Isabel Marant,isabel marant,2026-03-08,0.050505,False
Mugler,mugler,2026-03-08,0.040404,False
Dior,dior,2026-03-09,1.0,True
Mossi,mossi,2026-03-09,0.011905,False
Rick Owens,rick owens,2026-03-09,0.071429,False
Isabel Marant,isabel marant,2026-03-09,0.047619,False
Mugler,mugler,2026-03-09,0.035714,False
Dior,dior,2026-03-10,1.0,True
Mossi,mossi,2026-03-10,0.0125,False
Rick Owens,rick owens,2026-03-10,0.075,False
Isabel Marant,isabel marant,2026-03-10,0.05,False
Mugler,mugler,2026-03-10,0.0375,False
