brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Maitrepierre,maitrepierre,2026-02-16,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-16,0.0,False
Christian Dior,christian dior,2026-02-16,0.0875,False
Matieres Fecales,matieres fecales,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Maitrepierre,maitrepierre,2026-02-17,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-17,0.0,False
Christian Dior,christian dior,2026-02-17,0.08,False
Matieres Fecales,matieres fecales,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Maitrepierre,maitrepierre,2026-02-18,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-18,0.0,False
Christian Dior,christian dior,2026-02-18,0.08,False
Matieres Fecales,matieres fecales,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Maitrepierre,maitrepierre,2026-02-19,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-19,0.0,False
Christian Dior,christian dior,2026-02-19,0.077922,False
Matieres Fecales,matieres fecales,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Maitrepierre,maitrepierre,2026-02-20,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-20,0.0,False
Christian Dior,christian dior,2026-02-20,0.074074,False
Matieres Fecales,matieres fecales,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Maitrepierre,maitrepierre,2026-02-21,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-21,0.0,False
Christian Dior,christian dior,2026-02-21,0.074468,False
Matieres Fecales,matieres fecales,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Maitrepierre,maitrepierre,2026-02-22,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-22,0.0,False
Christian Dior,christian dior,2026-02-22,0.067416,False
Matieres Fecales,matieres fecales,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Maitrepierre,maitrepierre,2026-02-23,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-23,0.0,False
Christian Dior,christian dior,2026-02-23,0.076923,False
Matieres Fecales,matieres fecales,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Maitrepierre,maitrepierre,2026-02-24,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-24,0.0,False
Christian Dior,christian dior,2026-02-24,0.067568,False
Matieres Fecales,matieres fecales,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Maitrepierre,maitrepierre,2026-02-25,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-25,0.0,False
Christian Dior,christian dior,2026-02-25,0.064935,False
Matieres Fecales,matieres fecales,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Maitrepierre,maitrepierre,2026-02-26,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-26,0.0,False
Christian Dior,christian dior,2026-02-26,0.076923,False
Matieres Fecales,matieres fecales,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
Maitrepierre,maitrepierre,2026-02-27,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-27,0.0,False
Christian Dior,christian dior,2026-02-27,0.061728,False
Matieres Fecales,matieres fecales,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
Maitrepierre,maitrepierre,2026-02-28,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-02-28,0.0,False
Christian Dior,christian dior,2026-02-28,0.05814,False
Matieres Fecales,matieres fecales,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
Maitrepierre,maitrepierre,2026-03-01,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-01,0.0,False
Christian Dior,christian dior,2026-03-01,0.056818,False
Matieres Fecales,matieres fecales,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
Maitrepierre,maitrepierre,2026-03-02,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-02,0.0,False
Christian Dior,christian dior,2026-03-02,0.065789,False
Matieres Fecales,matieres fecales,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
Maitrepierre,maitrepierre,2026-03-03,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-03,0.0,False
Christian Dior,christian dior,2026-03-03,0.065789,False
Matieres Fecales,matieres fecales,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
Maitrepierre,maitrepierre,2026-03-04,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-04,0.0,False
Christian Dior,christian dior,2026-03-04,0.059524,False
Matieres Fecales,matieres fecales,2026-03-04,0.011905,False
Dior,dior,2026-03-05,1.0,True
Maitrepierre,maitrepierre,2026-03-05,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-05,0.0,False
Christian Dior,christian dior,2026-03-05,0.059524,False
Matieres Fecales,matieres fecales,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
Maitrepierre,maitrepierre,2026-03-06,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-06,0.0,False
Christian Dior,christian dior,2026-03-06,0.05814,False
Matieres Fecales,matieres fecales,2026-03-06,0.0,False
Dior,dior,2026-03-07,1.0,True
Maitrepierre,maitrepierre,2026-03-07,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-07,0.0,False
Christian Dior,christian dior,2026-03-07,0.06,False
Matieres Fecales,matieres fecales,2026-03-07,0.0,False
Dior,dior,2026-03-08,1.0,True
Maitrepierre,maitrepierre,2026-03-08,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-08,0.0,False
Christian Dior,christian dior,2026-03-08,0.060606,False
Matieres Fecales,matieres fecales,2026-03-08,0.0,False
Dior,dior,2026-03-09,1.0,True
Maitrepierre,maitrepierre,2026-03-09,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-09,0.0,False
Christian Dior,christian dior,2026-03-09,0.059524,False
Matieres Fecales,matieres fecales,2026-03-09,0.0,False
Dior,dior,2026-03-10,1.0,True
Maitrepierre,maitrepierre,2026-03-10,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-10,0.0,False
Christian Dior,christian dior,2026-03-10,0.05,False
Matieres Fecales,matieres fecales,2026-03-10,0.0,False
Dior,dior,2026-03-11,1.0,True
Maitrepierre,maitrepierre,2026-03-11,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-11,0.0,False
Christian Dior,christian dior,2026-03-11,0.04878,False
Matieres Fecales,matieres fecales,2026-03-11,0.0,False
Dior,dior,2026-03-12,1.0,True
Maitrepierre,maitrepierre,2026-03-12,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-12,0.0,False
Christian Dior,christian dior,2026-03-12,0.060241,False
Matieres Fecales,matieres fecales,2026-03-12,0.0,False
Dior,dior,2026-03-13,1.0,True
Maitrepierre,maitrepierre,2026-03-13,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-13,0.0,False
Christian Dior,christian dior,2026-03-13,0.054348,False
Matieres Fecales,matieres fecales,2026-03-13,0.0,False
Dior,dior,2026-03-14,1.0,True
Maitrepierre,maitrepierre,2026-03-14,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-14,0.0,False
Christian Dior,christian dior,2026-03-14,0.061856,False
Matieres Fecales,matieres fecales,2026-03-14,0.0,False
Dior,dior,2026-03-15,1.0,True
Maitrepierre,maitrepierre,2026-03-15,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-15,0.0,False
Christian Dior,christian dior,2026-03-15,0.06383,False
Matieres Fecales,matieres fecales,2026-03-15,0.0,False
Dior,dior,2026-03-16,1.0,True
Maitrepierre,maitrepierre,2026-03-16,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-16,0.0,False
Christian Dior,christian dior,2026-03-16,0.060976,False
Matieres Fecales,matieres fecales,2026-03-16,0.0,False
Dior,dior,2026-03-17,1.0,True
Maitrepierre,maitrepierre,2026-03-17,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-17,0.0,False
Christian Dior,christian dior,2026-03-17,0.051948,False
Matieres Fecales,matieres fecales,2026-03-17,0.0,False
Dior,dior,2026-03-18,1.0,True
Maitrepierre,maitrepierre,2026-03-18,0.0,False
Mame Kurogouchi,mame kurogouchi,2026-03-18,0.0,False
Christian Dior,christian dior,2026-03-18,0.05,False
Matieres Fecales,matieres fecales,2026-03-18,0.0,False
