brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-16,0.0,False
KOLOR,kolor,2026-02-16,0.1125,False
MAISON KITSUNÉ,maison kitsune,2026-02-16,0.0,False
TAAKK,taakk,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-17,0.0,False
KOLOR,kolor,2026-02-17,0.12,False
MAISON KITSUNÉ,maison kitsune,2026-02-17,0.0,False
TAAKK,taakk,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-18,0.0,False
KOLOR,kolor,2026-02-18,0.12,False
MAISON KITSUNÉ,maison kitsune,2026-02-18,0.0,False
TAAKK,taakk,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-19,0.0,False
KOLOR,kolor,2026-02-19,0.116883,False
MAISON KITSUNÉ,maison kitsune,2026-02-19,0.0,False
TAAKK,taakk,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-20,0.0,False
KOLOR,kolor,2026-02-20,0.111111,False
MAISON KITSUNÉ,maison kitsune,2026-02-20,0.0,False
TAAKK,taakk,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-21,0.0,False
KOLOR,kolor,2026-02-21,0.106383,False
MAISON KITSUNÉ,maison kitsune,2026-02-21,0.0,False
TAAKK,taakk,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-22,0.0,False
KOLOR,kolor,2026-02-22,0.101124,False
MAISON KITSUNÉ,maison kitsune,2026-02-22,0.0,False
TAAKK,taakk,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-23,0.0,False
KOLOR,kolor,2026-02-23,0.115385,False
MAISON KITSUNÉ,maison kitsune,2026-02-23,0.0,False
TAAKK,taakk,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-24,0.0,False
KOLOR,kolor,2026-02-24,0.121622,False
MAISON KITSUNÉ,maison kitsune,2026-02-24,0.0,False
TAAKK,taakk,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-25,0.0,False
KOLOR,kolor,2026-02-25,0.116883,False
MAISON KITSUNÉ,maison kitsune,2026-02-25,0.0,False
TAAKK,taakk,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-26,0.0,False
KOLOR,kolor,2026-02-26,0.115385,False
MAISON KITSUNÉ,maison kitsune,2026-02-26,0.0,False
TAAKK,taakk,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-27,0.0,False
KOLOR,kolor,2026-02-27,0.111111,False
MAISON KITSUNÉ,maison kitsune,2026-02-27,0.0,False
TAAKK,taakk,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
ZIGGY CHEN,ziggy chen,2026-02-28,0.0,False
KOLOR,kolor,2026-02-28,0.104651,False
MAISON KITSUNÉ,maison kitsune,2026-02-28,0.0,False
TAAKK,taakk,2026-02-28,0.0,False
Dior,dior,2026-03-01,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-01,0.0,False
KOLOR,kolor,2026-03-01,0.125,False
MAISON KITSUNÉ,maison kitsune,2026-03-01,0.0,False
TAAKK,taakk,2026-03-01,0.0,False
Dior,dior,2026-03-02,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-02,0.0,False
KOLOR,kolor,2026-03-02,0.118421,False
MAISON KITSUNÉ,maison kitsune,2026-03-02,0.0,False
TAAKK,taakk,2026-03-02,0.0,False
Dior,dior,2026-03-03,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-03,0.0,False
KOLOR,kolor,2026-03-03,0.131579,False
MAISON KITSUNÉ,maison kitsune,2026-03-03,0.0,False
TAAKK,taakk,2026-03-03,0.0,False
Dior,dior,2026-03-04,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-04,0.0,False
KOLOR,kolor,2026-03-04,0.107143,False
MAISON KITSUNÉ,maison kitsune,2026-03-04,0.0,False
TAAKK,taakk,2026-03-04,0.0,False
Dior,dior,2026-03-05,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-05,0.0,False
KOLOR,kolor,2026-03-05,0.119048,False
MAISON KITSUNÉ,maison kitsune,2026-03-05,0.0,False
TAAKK,taakk,2026-03-05,0.0,False
Dior,dior,2026-03-06,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-06,0.0,False
KOLOR,kolor,2026-03-06,0.116279,False
MAISON KITSUNÉ,maison kitsune,2026-03-06,0.0,False
TAAKK,taakk,2026-03-06,0.0,False
Dior,dior,2026-03-07,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-07,0.0,False
KOLOR,kolor,2026-03-07,0.1,False
MAISON KITSUNÉ,maison kitsune,2026-03-07,0.0,False
TAAKK,taakk,2026-03-07,0.0,False
Dior,dior,2026-03-08,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-08,0.0,False
KOLOR,kolor,2026-03-08,0.10101,False
MAISON KITSUNÉ,maison kitsune,2026-03-08,0.0,False
TAAKK,taakk,2026-03-08,0.0,False
Dior,dior,2026-03-09,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-09,0.0,False
KOLOR,kolor,2026-03-09,0.119048,False
MAISON KITSUNÉ,maison kitsune,2026-03-09,0.0,False
TAAKK,taakk,2026-03-09,0.0,False
Dior,dior,2026-03-10,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-10,0.0,False
KOLOR,kolor,2026-03-10,0.125,False
MAISON KITSUNÉ,maison kitsune,2026-03-10,0.0,False
TAAKK,taakk,2026-03-10,0.0,False
Dior,dior,2026-03-11,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-11,0.0,False
KOLOR,kolor,2026-03-11,0.121951,False
MAISON KITSUNÉ,maison kitsune,2026-03-11,0.0,False
TAAKK,taakk,2026-03-11,0.0,False
Dior,dior,2026-03-12,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-12,0.0,False
KOLOR,kolor,2026-03-12,0.120482,False
MAISON KITSUNÉ,maison kitsune,2026-03-12,0.0,False
TAAKK,taakk,2026-03-12,0.0,False
Dior,dior,2026-03-13,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-13,0.0,False
KOLOR,kolor,2026-03-13,0.108696,False
MAISON KITSUNÉ,maison kitsune,2026-03-13,0.0,False
TAAKK,taakk,2026-03-13,0.0,False
Dior,dior,2026-03-14,1.0,True
ZIGGY CHEN,ziggy chen,2026-03-14,0.0,False
KOLOR,kolor,2026-03-14,0.114583,False
MAISON KITSUNÉ,maison kitsune,2026-03-14,0.0,False
TAAKK,taakk,2026-03-14,0.0,False
