brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Veronique Leroy,veronique leroy,2026-02-16,0.0,False
Junya Watanabe,junya watanabe,2026-02-16,0.0,False
Nehera,nehera,2026-02-16,0.0,False
Celine,celine,2026-02-16,0.275,False
Dior,dior,2026-02-17,1.0,True
Veronique Leroy,veronique leroy,2026-02-17,0.0,False
Junya Watanabe,junya watanabe,2026-02-17,0.0,False
Nehera,nehera,2026-02-17,0.0,False
Celine,celine,2026-02-17,0.293333,False
Dior,dior,2026-02-18,1.0,True
Veronique Leroy,veronique leroy,2026-02-18,0.0,False
Junya Watanabe,junya watanabe,2026-02-18,0.0,False
Nehera,nehera,2026-02-18,0.0,False
Celine,celine,2026-02-18,0.28,False
Dior,dior,2026-02-19,1.0,True
Veronique Leroy,veronique leroy,2026-02-19,0.0,False
Junya Watanabe,junya watanabe,2026-02-19,0.0,False
Nehera,nehera,2026-02-19,0.0,False
Celine,celine,2026-02-19,0.311688,False
Dior,dior,2026-02-20,1.0,True
Veronique Leroy,veronique leroy,2026-02-20,0.0,False
Junya Watanabe,junya watanabe,2026-02-20,0.0,False
Nehera,nehera,2026-02-20,0.0,False
Celine,celine,2026-02-20,0.296296,False
Dior,dior,2026-02-21,1.0,True
Veronique Leroy,veronique leroy,2026-02-21,0.0,False
Junya Watanabe,junya watanabe,2026-02-21,0.0,False
Nehera,nehera,2026-02-21,0.0,False
Celine,celine,2026-02-21,0.297872,False
Dior,dior,2026-02-22,1.0,True
Veronique Leroy,veronique leroy,2026-02-22,0.0,False
Junya Watanabe,junya watanabe,2026-02-22,0.0,False
Nehera,nehera,2026-02-22,0.0,False
Celine,celine,2026-02-22,0.292135,False
Dior,dior,2026-02-23,1.0,True
Veronique Leroy,veronique leroy,2026-02-23,0.0,False
Junya Watanabe,junya watanabe,2026-02-23,0.0,False
Nehera,nehera,2026-02-23,0.0,False
Celine,celine,2026-02-23,0.282051,False
Dior,dior,2026-02-24,1.0,True
Veronique Leroy,veronique leroy,2026-02-24,0.0,False
Junya Watanabe,junya watanabe,2026-02-24,0.0,False
Nehera,nehera,2026-02-24,0.0,False
Celine,celine,2026-02-24,0.297297,False
Dior,dior,2026-02-25,1.0,True
Veronique Leroy,veronique leroy,2026-02-25,0.0,False
Junya Watanabe,junya watanabe,2026-02-25,0.0,False
Nehera,nehera,2026-02-25,0.0,False
Celine,celine,2026-02-25,0.285714,False
Dior,dior,2026-02-26,1.0,True
Veronique Leroy,veronique leroy,2026-02-26,0.0,False
Junya Watanabe,junya watanabe,2026-02-26,0.0,False
Nehera,nehera,2026-02-26,0.0,False
Celine,celine,2026-02-26,0.307692,False
Dior,dior,2026-02-27,1.0,True
Veronique Leroy,veronique leroy,2026-02-27,0.0,False
Junya Watanabe,junya watanabe,2026-02-27,0.0,False
Nehera,nehera,2026-02-27,0.0,False
Celine,celine,2026-02-27,0.308642,False
Dior,dior,2026-02-28,1.0,True
Veronique Leroy,veronique leroy,2026-02-28,0.0,False
Junya Watanabe,junya watanabe,2026-02-28,0.0,False
Nehera,nehera,2026-02-28,0.0,False
Celine,celine,2026-02-28,0.302326,False
Dior,dior,2026-03-01,1.0,True
Veronique Leroy,veronique leroy,2026-03-01,0.0,False
Junya Watanabe,junya watanabe,2026-03-01,0.0,False
Nehera,nehera,2026-03-01,0.0,False
Celine,celine,2026-03-01,0.261364,False
Dior,dior,2026-03-02,1.0,True
Veronique Leroy,veronique leroy,2026-03-02,0.0,False
Junya Watanabe,junya watanabe,2026-03-02,0.0,False
Nehera,nehera,2026-03-02,0.0,False
Celine,celine,2026-03-02,0.276316,False
Dior,dior,2026-03-03,1.0,True
Veronique Leroy,veronique leroy,2026-03-03,0.0,False
Junya Watanabe,junya watanabe,2026-03-03,0.0,False
Nehera,nehera,2026-03-03,0.0,False
Celine,celine,2026-03-03,0.263158,False
Dior,dior,2026-03-04,1.0,True
Veronique Leroy,veronique leroy,2026-03-04,0.0,False
Junya Watanabe,junya watanabe,2026-03-04,0.0,False
Nehera,nehera,2026-03-04,0.0,False
Celine,celine,2026-03-04,0.25,False
Dior,dior,2026-03-05,1.0,True
Veronique Leroy,veronique leroy,2026-03-05,0.0,False
Junya Watanabe,junya watanabe,2026-03-05,0.0,False
Nehera,nehera,2026-03-05,0.0,False
Celine,celine,2026-03-05,0.25,False
Dior,dior,2026-03-06,1.0,True
Veronique Leroy,veronique leroy,2026-03-06,0.0,False
Junya Watanabe,junya watanabe,2026-03-06,0.0,False
Nehera,nehera,2026-03-06,0.0,False
Celine,celine,2026-03-06,0.267442,False
Dior,dior,2026-03-07,1.0,True
Veronique Leroy,veronique leroy,2026-03-07,0.0,False
Junya Watanabe,junya watanabe,2026-03-07,0.0,False
Nehera,nehera,2026-03-07,0.0,False
Celine,celine,2026-03-07,0.28,False
Dior,dior,2026-03-08,1.0,True
Veronique Leroy,veronique leroy,2026-03-08,0.0,False
Junya Watanabe,junya watanabe,2026-03-08,0.010101,False
Nehera,nehera,2026-03-08,0.0,False
Celine,celine,2026-03-08,0.343434,False
Dior,dior,2026-03-09,1.0,True
Veronique Leroy,veronique leroy,2026-03-09,0.0,False
Junya Watanabe,junya watanabe,2026-03-09,0.0,False
Nehera,nehera,2026-03-09,0.0,False
Celine,celine,2026-03-09,0.27381,False
