brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-16,0.0,False
Ottolinger,ottolinger,2026-02-16,0.0,False
McQueen,mcqueen,2026-02-16,0.25,False
Zimmermann,zimmermann,2026-02-16,0.0875,False
Dior,dior,2026-02-17,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-17,0.0,False
Ottolinger,ottolinger,2026-02-17,0.0,False
McQueen,mcqueen,2026-02-17,0.24,False
Zimmermann,zimmermann,2026-02-17,0.093333,False
Dior,dior,2026-02-18,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-18,0.0,False
Ottolinger,ottolinger,2026-02-18,0.0,False
McQueen,mcqueen,2026-02-18,0.24,False
Zimmermann,zimmermann,2026-02-18,0.093333,False
Dior,dior,2026-02-19,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-19,0.0,False
Ottolinger,ottolinger,2026-02-19,0.0,False
McQueen,mcqueen,2026-02-19,0.233766,False
Zimmermann,zimmermann,2026-02-19,0.090909,False
Dior,dior,2026-02-20,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-20,0.0,False
Ottolinger,ottolinger,2026-02-20,0.0,False
McQueen,mcqueen,2026-02-20,0.234568,False
Zimmermann,zimmermann,2026-02-20,0.08642,False
Dior,dior,2026-02-21,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-21,0.0,False
Ottolinger,ottolinger,2026-02-21,0.0,False
McQueen,mcqueen,2026-02-21,0.223404,False
Zimmermann,zimmermann,2026-02-21,0.06383,False
Dior,dior,2026-02-22,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-22,0.0,False
Ottolinger,ottolinger,2026-02-22,0.0,False
McQueen,mcqueen,2026-02-22,0.213483,False
Zimmermann,zimmermann,2026-02-22,0.067416,False
Dior,dior,2026-02-23,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-23,0.0,False
Ottolinger,ottolinger,2026-02-23,0.0,False
McQueen,mcqueen,2026-02-23,0.230769,False
Zimmermann,zimmermann,2026-02-23,0.102564,False
Dior,dior,2026-02-24,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-24,0.0,False
Ottolinger,ottolinger,2026-02-24,0.0,False
McQueen,mcqueen,2026-02-24,0.22973,False
Zimmermann,zimmermann,2026-02-24,0.094595,False
Dior,dior,2026-02-25,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-25,0.0,False
Ottolinger,ottolinger,2026-02-25,0.0,False
McQueen,mcqueen,2026-02-25,0.246753,False
Zimmermann,zimmermann,2026-02-25,0.090909,False
Dior,dior,2026-02-26,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-26,0.0,False
Ottolinger,ottolinger,2026-02-26,0.0,False
McQueen,mcqueen,2026-02-26,0.230769,False
Zimmermann,zimmermann,2026-02-26,0.102564,False
Dior,dior,2026-02-27,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-27,0.0,False
Ottolinger,ottolinger,2026-02-27,0.0,False
McQueen,mcqueen,2026-02-27,0.222222,False
Zimmermann,zimmermann,2026-02-27,0.074074,False
Dior,dior,2026-02-28,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-02-28,0.0,False
Ottolinger,ottolinger,2026-02-28,0.0,False
McQueen,mcqueen,2026-02-28,0.22093,False
Zimmermann,zimmermann,2026-02-28,0.069767,False
Dior,dior,2026-03-01,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-01,0.0,False
Ottolinger,ottolinger,2026-03-01,0.0,False
McQueen,mcqueen,2026-03-01,0.215909,False
Zimmermann,zimmermann,2026-03-01,0.068182,False
Dior,dior,2026-03-02,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-02,0.0,False
Ottolinger,ottolinger,2026-03-02,0.0,False
McQueen,mcqueen,2026-03-02,0.236842,False
Zimmermann,zimmermann,2026-03-02,0.105263,False
Dior,dior,2026-03-03,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-03,0.0,False
Ottolinger,ottolinger,2026-03-03,0.0,False
McQueen,mcqueen,2026-03-03,0.223684,False
Zimmermann,zimmermann,2026-03-03,0.092105,False
Dior,dior,2026-03-04,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-04,0.0,False
Ottolinger,ottolinger,2026-03-04,0.0,False
McQueen,mcqueen,2026-03-04,0.202381,False
Zimmermann,zimmermann,2026-03-04,0.083333,False
Dior,dior,2026-03-05,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-05,0.0,False
Ottolinger,ottolinger,2026-03-05,0.0,False
McQueen,mcqueen,2026-03-05,0.202381,False
Zimmermann,zimmermann,2026-03-05,0.083333,False
Dior,dior,2026-03-06,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-06,0.0,False
Ottolinger,ottolinger,2026-03-06,0.0,False
McQueen,mcqueen,2026-03-06,0.22093,False
Zimmermann,zimmermann,2026-03-06,0.104651,False
Dior,dior,2026-03-07,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-07,0.0,False
Ottolinger,ottolinger,2026-03-07,0.0,False
McQueen,mcqueen,2026-03-07,0.21,False
Zimmermann,zimmermann,2026-03-07,0.07,False
Dior,dior,2026-03-08,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-08,0.010101,False
Ottolinger,ottolinger,2026-03-08,0.0,False
McQueen,mcqueen,2026-03-08,0.212121,False
Zimmermann,zimmermann,2026-03-08,0.070707,False
Dior,dior,2026-03-09,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-09,0.011905,False
Ottolinger,ottolinger,2026-03-09,0.0,False
McQueen,mcqueen,2026-03-09,0.214286,False
Zimmermann,zimmermann,2026-03-09,0.095238,False
Dior,dior,2026-03-10,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-10,0.0125,False
Ottolinger,ottolinger,2026-03-10,0.0,False
McQueen,mcqueen,2026-03-10,0.225,False
Zimmermann,zimmermann,2026-03-10,0.1,False
Dior,dior,2026-03-11,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-11,0.0,False
Ottolinger,ottolinger,2026-03-11,0.0,False
McQueen,mcqueen,2026-03-11,0.219512,False
Zimmermann,zimmermann,2026-03-11,0.097561,False
Dior,dior,2026-03-12,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-12,0.0,False
Ottolinger,ottolinger,2026-03-12,0.0,False
McQueen,mcqueen,2026-03-12,0.228916,False
Zimmermann,zimmermann,2026-03-12,0.084337,False
Dior,dior,2026-03-13,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-13,0.0,False
Ottolinger,ottolinger,2026-03-13,0.0,False
McQueen,mcqueen,2026-03-13,0.206522,False
Zimmermann,zimmermann,2026-03-13,0.108696,False
Dior,dior,2026-03-14,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-14,0.0,False
Ottolinger,ottolinger,2026-03-14,0.0,False
McQueen,mcqueen,2026-03-14,0.216495,False
Zimmermann,zimmermann,2026-03-14,0.061856,False
Dior,dior,2026-03-15,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-15,0.0,False
Ottolinger,ottolinger,2026-03-15,0.0,False
McQueen,mcqueen,2026-03-15,0.223404,False
Zimmermann,zimmermann,2026-03-15,0.074468,False
Dior,dior,2026-03-16,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-16,0.0,False
Ottolinger,ottolinger,2026-03-16,0.0,False
McQueen,mcqueen,2026-03-16,0.231707,False
Zimmermann,zimmermann,2026-03-16,0.097561,False
Dior,dior,2026-03-17,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-17,0.0,False
Ottolinger,ottolinger,2026-03-17,0.0,False
McQueen,mcqueen,2026-03-17,0.233766,False
Zimmermann,zimmermann,2026-03-17,0.090909,False
Dior,dior,2026-03-18,1.0,True
Enfants Riches Deprimes,enfants riches deprimes,2026-03-18,0.0,False
Ottolinger,ottolinger,2026-03-18,0.0,False
McQueen,mcqueen,2026-03-18,0.2125,False
Zimmermann,zimmermann,2026-03-18,0.1,False
