brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-16,0.0,False
HERMÈS,hermes,2026-02-16,0.0625,False
UNDERCOVER,undercover,2026-02-16,0.1625,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-17,0.0,False
HERMÈS,hermes,2026-02-17,0.053333,False
UNDERCOVER,undercover,2026-02-17,0.186667,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-18,0.0,False
HERMÈS,hermes,2026-02-18,0.053333,False
UNDERCOVER,undercover,2026-02-18,0.16,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-19,0.0,False
HERMÈS,hermes,2026-02-19,0.051948,False
UNDERCOVER,undercover,2026-02-19,0.155844,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-20,0.0,False
HERMÈS,hermes,2026-02-20,0.049383,False
UNDERCOVER,undercover,2026-02-20,0.148148,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-21,0.0,False
HERMÈS,hermes,2026-02-21,0.042553,False
UNDERCOVER,undercover,2026-02-21,0.180851,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
AMC - ALDO MARIA CAMILLO,amc aldo maria camillo,2026-02-22,0.0,False
HERMÈS,hermes,2026-02-22,0.044944,False
UNDERCOVER,undercover,2026-02-22,0.168539,False
KIKO KOSTADINOV,kiko kostadinov,2026-02-22,0.0,False
