brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
Vaquera,vaquera,2026-02-16,0.025,False
Zomer,zomer,2026-02-16,0.0375,False
Ganni,ganni,2026-02-16,0.0375,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-16,0.0,False
Dior,dior,2026-02-17,1.0,True
Vaquera,vaquera,2026-02-17,0.026667,False
Zomer,zomer,2026-02-17,0.04,False
Ganni,ganni,2026-02-17,0.04,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-17,0.0,False
Dior,dior,2026-02-18,1.0,True
Vaquera,vaquera,2026-02-18,0.026667,False
Zomer,zomer,2026-02-18,0.04,False
Ganni,ganni,2026-02-18,0.04,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-18,0.0,False
Dior,dior,2026-02-19,1.0,True
Vaquera,vaquera,2026-02-19,0.025974,False
Zomer,zomer,2026-02-19,0.038961,False
Ganni,ganni,2026-02-19,0.038961,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-19,0.0,False
Dior,dior,2026-02-20,1.0,True
Vaquera,vaquera,2026-02-20,0.024691,False
Zomer,zomer,2026-02-20,0.037037,False
Ganni,ganni,2026-02-20,0.049383,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-20,0.0,False
Dior,dior,2026-02-21,1.0,True
Vaquera,vaquera,2026-02-21,0.021277,False
Zomer,zomer,2026-02-21,0.042553,False
Ganni,ganni,2026-02-21,0.042553,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-21,0.0,False
Dior,dior,2026-02-22,1.0,True
Vaquera,vaquera,2026-02-22,0.022472,False
Zomer,zomer,2026-02-22,0.044944,False
Ganni,ganni,2026-02-22,0.044944,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-22,0.0,False
Dior,dior,2026-02-23,1.0,True
Vaquera,vaquera,2026-02-23,0.025641,False
Zomer,zomer,2026-02-23,0.038462,False
Ganni,ganni,2026-02-23,0.051282,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-23,0.0,False
Dior,dior,2026-02-24,1.0,True
Vaquera,vaquera,2026-02-24,0.027027,False
Zomer,zomer,2026-02-24,0.040541,False
Ganni,ganni,2026-02-24,0.054054,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-24,0.0,False
Dior,dior,2026-02-25,1.0,True
Vaquera,vaquera,2026-02-25,0.025974,False
Zomer,zomer,2026-02-25,0.038961,False
Ganni,ganni,2026-02-25,0.051948,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-25,0.0,False
Dior,dior,2026-02-26,1.0,True
Vaquera,vaquera,2026-02-26,0.025641,False
Zomer,zomer,2026-02-26,0.038462,False
Ganni,ganni,2026-02-26,0.038462,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-26,0.0,False
Dior,dior,2026-02-27,1.0,True
Vaquera,vaquera,2026-02-27,0.024691,False
Zomer,zomer,2026-02-27,0.037037,False
Ganni,ganni,2026-02-27,0.037037,False
Marie Adam-Leenaerdt,marie adamleenaerdt,2026-02-27,0.0,False
Dior,dior,2026-02-28,1.0,True
