brand_name,brand_key,designer,show_date,show_time,venue_name
IFM Master of Arts,ifm master of arts,,2026-03-02,14:30:00,
CO,co,,2026-03-02,15:30:00,
Weinsanto,weinsanto,,2026-03-02,16:00:00,
Vautrait,vautrait,,2026-03-02,16:30:00,
Burc Akyol,burc akyol,,2026-03-02,17:00:00,
Kimhekim,kimhekim,,2026-03-02,17:30:00,Palais de Tokyo
Julie Kegels,julie kegels,,2026-03-02,18:00:00,
Hodakova,hodakova,,2026-03-02,19:00:00,
Vaquera,vaquera,,2026-03-02,20:30:00,
Zomer,zomer,,2026-03-03,10:00:00,
Ganni,ganni,,2026-03-03,10:00:00,
Marie Adam-Leenaerdt,marie adamleenaerdt,,2026-03-03,11:30:00,
Maitrepierre,maitrepierre,,2026-03-03,12:00:00,
Mame Kurogouchi,mame kurogouchi,,2026-03-03,13:00:00,
Christian Dior,christian dior,,2026-03-03,14:30:00,Jardin des Tuileries
Matieres Fecales,matieres fecales,,2026-03-03,16:00:00,
Anrealage,anrealage,,2026-03-03,17:00:00,
Pressiat,pressiat,,2026-03-03,17:30:00,
Alainpaul,alainpaul,,2026-03-03,18:00:00,
Saint Laurent,saint laurent,,2026-03-03,20:00:00,
Loulou de Saison,loulou de saison,,2026-03-04,10:00:00,
Courreges,courreges,,2026-03-04,10:30:00,
Reverie By Caroline Hu,reverie by caroline hu,,2026-03-04,11:30:00,
The Row,the row,,2026-03-04,12:00:00,
Balmain,balmain,,2026-03-04,13:30:00,
Dries Van Noten,dries van noten,,2026-03-04,15:00:00,
Stella McCartney,stella mccartney,,2026-03-04,16:00:00,
Acne Studios,acne studios,,2026-03-04,17:30:00,
Tom Ford,tom ford,,2026-03-04,19:00:00,
Alaia,alaia,,2026-03-04,21:00:00,
Chloe,chloe,,2026-03-05,10:00:00,Maison de l'UNESCO
Junko Shimada,junko shimada,,2026-03-05,11:00:00,
Off-White,offwhite,,2026-03-05,11:30:00,
Carven,carven,,2026-03-05,12:30:00,
Rabanne,rabanne,,2026-03-05,14:00:00,
Uma Wang,uma wang,,2026-03-05,15:00:00,
Gauchere,gauchere,,2026-03-05,15:30:00,
Cecilie Bahnsen,cecilie bahnsen,,2026-03-05,16:00:00,
Icicle,icicle,,2026-03-05,16:30:00,
Schiaparelli,schiaparelli,,2026-03-05,17:30:00,Carrousel du Louvre
Mossi,mossi,,2026-03-05,18:00:00,
Rick Owens,rick owens,,2026-03-05,18:30:00,Palais de Tokyo
Isabel Marant,isabel marant,,2026-03-05,20:00:00,
Mugler,mugler,,2026-03-06,10:00:00,
Undercover,undercover,,2026-03-06,10:00:00,
Loewe,loewe,,2026-03-06,11:30:00,Chateau de Vincennes
Ruohan,ruohan,,2026-03-06,12:30:00,
Issey Miyake,issey miyake,,2026-03-06,13:00:00,
Vaillant,vaillant,,2026-03-06,14:00:00,
Jitrois,jitrois,,2026-03-06,14:00:00,
